ID,Timestamp,Language,AtLeastOneOpenResponse,COVIDStatus5,COVIDStatus4,COVIDStatus3,COVIDStatus2,COVIDStatus1,COVIDStatus0,Isolation,FR1,FR2,FR3,FR4,FR5,FR6,FR7,FR8,FR9,FR10,DP1,DP2,DP3,DP4,DP5,Erg1,Erg2,Erg3,Erg4,Erg5,Erg6,OS1,OS2,OS3,OS4,OS5,OS6,OS7,OS8,OS9,OS10,OS11,OS12,OS13,OS14,OS15,OS16,OS17,OS18,OS19,OS20,OS21,OS22,WHO5B1,WHO5B2,WHO5B3,WHO5B4,WHO5B5,WHO5S1,WHO5S2,WHO5S3,WHO5S4,WHO5S5,HPQB1,HPQB2,HPQB3,HPQB4,HPQB6,HPQB5,HPQB7,HPQB8,HPQS1,HPQS2,HPQS3,HPQS4,HPQS6,HPQS5,HPQS7,HPQS8,PerformanceOthers,PerB1item,PerS1item,RolesIncludeDeveloper,YearsOfExperience,YearsOfWorkFromHomeExperience,Fulltime,Coinhabitants,Children,Age,Gender,Country,Education,OrganizationSize,Disabilities
,2020-04-12 21:15:37,Arabic,1,1,0,0,0,0,0,2,-1,-1,-1,-1,-1,-1,0,1,0,0,4,2,3,4,2,1,1,2,2,2,2,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,7,8,5,,5,5,0,5,3,8,Male,,1,1,0
,2020-04-12 04:29:14,Arabic,1,0,0,0,0,0,1,2,1,0,1,1,1,-1,0,1,1,0,3,2,4,3,4,-1,-1,2,2,1,1,yes,yes,yes,yes,yes,yes,yes,helpful,yes,helpful,yes,yes,yes,yes,yes,yes,helpful,yes,yes,yes,yes,yes,5,5,5,5,5,2,2,2,2,3,3,0,0,0,0,0,2,3,4,0,1,2,1,2,3,1,9,10,7,0,7,0,1,4,1,4,Male,Armenia,2,3,0
,2020-04-07 20:33:19,Arabic,1,0,0,0,0,0,1,3,1,0,0,1,1,1,1,0,1,,2,1,1,4,3,2,2,2,2,1,2,,helpful,yes,,yes,yes,helpful,helpful,yes,,yes,yes,yes,,,,,yes,yes,,yes,,4,4,4,4,5,3,4,3,3,4,4,1,1,1,1,1,1,3,4,1,1,,1,1,2,3,8,8,10,0,8,2,1,6,1,3,Female,Saudi Arabia,3,4,0
,2020-04-12 17:22:03,Arabic,1,0,0,0,1,0,0,2,-1,-1,-1,-1,-1,-1,0,-1,1,0,4,3,4,4,4,1,3,3,2,2,2,yes,yes,yes,helpful,yes,yes,yes,,yes,,yes,yes,,helpful,helpful,helpful,yes,yes,yes,yes,yes,yes,5,5,5,5,5,5,5,5,5,5,2,1,3,1,0,0,0,1,2,1,1,1,0,1,0,2,6,6,8,1,5,3,1,2,0,4,Male,United Kingdom,2,6,0
,2020-04-09 19:12:32,Arabic,1,0,0,0,0,0,1,2,0,-1,1,0,-1,-1,0,1,1,0,4,-99,2,4,4,2,2,3,2,3,3,,yes,yes,yes,yes,yes,yes,,yes,,yes,yes,yes,,,helpful,helpful,yes,yes,yes,yes,yes,4,3,4,3,1,4,4,2,2,1,3,1,1,1,1,1,0,0,3,1,0,1,1,0,0,2,7,8,9,0,16,1,1,4,2,5,Male,Egypt,2,4,0
,2020-04-10 23:11:46,Arabic,1,0,0,0,0,0,1,3,1,1,1,0,-1,-1,1,1,1,0,4,4,4,4,4,3,3,3,3,3,3,both,helpful,helpful,helpful,yes,yes,yes,yes,yes,helpful,yes,helpful,helpful,helpful,helpful,helpful,yes,yes,yes,yes,helpful,yes,5,5,4,5,5,4,4,4,4,4,2,2,2,2,2,2,2,1,3,3,3,3,3,3,3,1,9,9,7,0,6,0,1,2,0,4,Female,Saudi Arabia,2,2,0
,2020-04-12 17:22:51,Arabic,1,0,0,0,0,1,0,2,0,-1,1,-1,0,-1,0,0,1,0,3,1,4,4,3,2,2,2,3,3,2,yes,,,,,,,,yes,,,,,,,,,yes,,,,yes,3,2,2,3,2,4,4,3,3,4,3,1,0,1,1,2,1,3,3,0,1,0,1,1,0,3,8,7,9,0,5,5,1,4,2,5,Female,Tunisia,3,2,0
,2020-04-13 23:40:00,Arabic,1,0,0,0,0,0,1,2,0,-1,1,-1,0,-1,-1,-1,1,,-99,0,1,-99,2,1,3,2,1,-2,1,yes,helpful,helpful,helpful,yes,helpful,helpful,helpful,yes,helpful,yes,,,helpful,helpful,helpful,helpful,yes,helpful,yes,,helpful,0,0,0,0,0,0,0,0,0,0,4,0,2,2,1,2,1,3,2,2,3,3,2,3,3,0,5,8,4,1,5,3,1,0,0,3,Male,Tunisia,3,2,0
,2020-04-13 19:15:27,Arabic,1,0,0,0,0,0,1,3,1,1,1,1,0,0,1,-1,1,3,3,3,-99,4,1,2,2,2,2,2,2,helpful,helpful,yes,helpful,yes,yes,yes,yes,yes,helpful,yes,helpful,yes,helpful,helpful,helpful,helpful,helpful,yes,helpful,yes,yes,2,2,4,4,3,4,4,4,3,4,2,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,7,8,7,1,1,0,1,1,0,4,Female,Tunisia,3,2,0
,2020-04-13 14:40:04,Arabic,1,0,0,0,0,0,1,2,1,1,1,0,-1,-1,1,1,1,0,4,4,4,4,4,1,1,3,3,3,1,yes,yes,yes,,yes,yes,yes,helpful,yes,,yes,yes,yes,,,,,yes,yes,yes,yes,yes,4,4,4,4,5,4,2,2,4,2,3,0,0,0,0,1,2,3,4,0,1,0,1,1,1,2,10,10,10,0,12,0.2,1,3,1,5,Female,Tunisia,4,1,0
