ID,Timestamp,Language,COVIDStatus5,COVIDStatus4,COVIDStatus3,COVIDStatus2,COVIDStatus1,COVIDStatus0,Isolation,FR1,FR2,FR3,FR4,FR5,FR6,FR7,FR8,FR9,FR10,DP1,DP2,DP3,DP4,DP5,Erg1,Erg2,Erg3,Erg4,Erg5,Erg6,OS1,OS2,OS3,OS4,OS5,OS6,OS7,OS8,OS9,OS10,OS11,OS12,OS13,OS14,OS15,OS16,OS17,OS18,OS19,OS20,OS21,OS22,WHO5B1,WHO5B2,WHO5B3,WHO5B4,WHO5B5,WHO5S1,WHO5S2,WHO5S3,WHO5S4,WHO5S5,HPQB1,HPQB2,HPQB3,HPQB4,HPQB6,HPQB5,HPQB7,HPQB8,HPQS1,HPQS2,HPQS3,HPQS4,HPQS6,HPQS5,HPQS7,HPQS8,PerformanceOthers,PerB1item,PerS1item,RolesIncludeDeveloper,YearsOfExperience,YearsOfWorkFromHomeExperience,Fulltime,Coinhabitants,Children,Age,Gender,Country,Education,OrganizationSize,Disabilities,AtLeastOneOpenResponse
,2020-04-04 12:43:46,Chinese,0,0,0,0,0,1,2,0,0,0,0,-1,0,1,0,0,,2,0,1,4,2,-2,-1,2,2,-1,-1,yes,,both,,yes,yes,both,,both,,both,,yes,,,,,both,,yes,,,4,4,4,4,4,4,4,4,4,4,3,1,2,2,1,1,0,0,2,2,2,2,3,3,2,-1,7,8,7,1,10,0,1,5,2,5,Male,China,3,5,0,
,2020-04-04 13:47:59,Chinese,0,0,0,0,0,1,2,-1,0,0,1,0,-1,1,-1,0,,4,0,0,4,2,2,2,2,2,2,2,both,helpful,helpful,helpful,helpful,helpful,helpful,helpful,both,yes,yes,both,both,helpful,helpful,helpful,helpful,both,helpful,both,yes,both,0,0,3,3,3,1,1,3,3,3,3,1,1,2,3,2,1,2,3,1,2,2,1,2,1,3,7,8,8,1,20,0,1,4,0,7,Male,China,3,3,0,
,2020-04-04 13:53:45,Chinese,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,4,-99,-99,4,4,3,3,3,3,3,3,both,both,both,both,yes,yes,yes,both,yes,helpful,yes,helpful,yes,helpful,helpful,helpful,helpful,yes,yes,yes,yes,yes,4,4,4,3,4,4,4,4,4,4,3,1,1,1,2,1,1,2,2,1,1,1,1,1,1,2,5,9,9,1,4,0,1,1,0,3,Male,China,3,6,0,
,2020-04-04 14:42:13,Chinese,0,0,0,0,0,1,2,-1,-1,-1,1,-1,1,0,-1,0,0,4,2,2,3,-99,-2,-2,1,-1,-2,-2,helpful,,,,,,helpful,,both,,,,yes,,,,,helpful,,,,,2,2,1,2,1,1,1,1,1,1,2,2,1,2,1,1,0,1,2,1,3,2,3,3,2,-2,6,6,4,1,6,0,1,3,0,3,Male,China,4,2,0,1
,2020-04-04 14:43:17,Chinese,0,0,0,0,0,1,2,0,1,1,1,-1,-1,-1,-1,1,1,4,2,1,4,2,-2,-1,2,2,-1,-2,helpful,helpful,helpful,helpful,yes,yes,yes,both,yes,helpful,helpful,yes,helpful,helpful,helpful,helpful,both,yes,helpful,helpful,helpful,yes,2,2,1,2,2,3,3,3,2,2,1,2,2,3,2,2,3,-1,2,2,3,3,3,3,3,0,7,3,2,1,2,0.1,1,4,0,3,Female,China,4,2,0,
,2020-04-04 15:14:30,Chinese,0,0,0,0,0,1,2,0,-1,-1,0,-1,0,-1,1,1,0,3,2,1,4,3,1,1,3,3,-1,-3,yes,helpful,yes,,helpful,yes,yes,both,yes,helpful,yes,helpful,yes,,,,,both,helpful,both,yes,yes,4,3,3,3,4,4,4,5,4,4,2,1,2,1,2,1,3,1,3,2,2,1,1,1,2,2,5,8,8,0,10,0,1,5,0,6,Male,China,2,3,0,1
,2020-04-05 06:42:01,Chinese,0,0,0,0,1,0,1,1,1,1,1,0,1,-1,0,-1,,3,3,3,3,3,-3,-2,-2,-1,-1,-2,helpful,both,helpful,both,both,helpful,helpful,helpful,yes,both,helpful,helpful,yes,helpful,helpful,both,both,both,both,both,both,both,3,3,4,1,3,3,2,2,1,3,2,3,1,2,2,1,2,0,1,2,3,2,1,2,3,0,7,7,7,1,,,1,,,3,Male,China,2,2,2,
,2020-04-05 06:42:57,Chinese,0,0,0,0,0,1,2,0,0,0,1,-1,0,-1,1,1,3,3,3,2,3,2,2,2,2,2,2,2,helpful,both,both,helpful,yes,both,both,both,both,yes,yes,both,both,helpful,helpful,helpful,helpful,both,yes,yes,yes,yes,4,4,4,4,4,4,4,4,4,4,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,7,8,8,1,3,0,1,3,0,3,Male,China,3,5,0,
,2020-04-05 06:58:34,Chinese,0,0,0,0,0,1,2,0,1,1,1,-1,1,-1,1,1,0,4,1,1,4,2,2,2,2,2,2,-1,yes,helpful,both,helpful,yes,both,both,both,both,helpful,yes,helpful,yes,helpful,helpful,helpful,helpful,yes,yes,yes,yes,both,4,4,4,4,3,3,3,4,4,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3,,3,5,5,5,1,1,0,1,3,0,2,Male,China,2,5,0,
,2020-04-05 07:17:02,Chinese,0,0,0,0,0,1,2,1,0,0,1,-1,-1,-1,1,1,0,2,1,3,4,4,3,3,3,3,3,2,helpful,helpful,helpful,helpful,both,yes,both,both,yes,helpful,yes,yes,helpful,helpful,helpful,helpful,yes,yes,helpful,helpful,yes,helpful,4,4,3,3,4,3,3,3,3,2,3,1,1,2,1,1,1,0,2,2,2,2,1,2,2,0,7,8,6,0,8,1,1,3,1,5,Male,China,4,4,0,
,2020-04-05 07:58:05,Chinese,0,0,0,0,0,1,1,-1,-1,-1,0,-1,0,-1,0,1,,4,-99,-99,-99,-99,1,3,3,3,-1,-1,yes,yes,yes,both,yes,yes,yes,yes,both,yes,both,both,yes,helpful,helpful,helpful,helpful,both,yes,yes,yes,yes,5,5,5,5,5,5,5,5,5,5,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,8,8,9,1,5,,1,3,2,3,Male,China,2,4,0,
,2020-04-05 09:36:11,Chinese,0,0,0,0,0,1,3,-1,-1,-1,0,-1,-1,-1,1,-1,,3,0,-99,4,4,-3,2,3,1,-2,-3,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,0,0,0,0,0,0,4,4,4,4,4,4,-3,0,4,4,4,4,4,4,-3,10,1,1,1,,,0,,,2,Male,China,4,4,0,
,2020-04-05 09:50:28,Chinese,0,0,0,0,0,1,2,-1,-1,0,1,-1,0,-1,1,0,0,4,0,0,4,3,-1,2,2,2,-3,-2,helpful,helpful,,,yes,yes,yes,both,both,,both,,,,,,,both,,,,,4,3,4,4,3,1,2,4,4,3,,,3,3,2,3,2,-1,,,3,3,3,3,2,0,4,8,2,1,2,0,0,3,0,2,Male,China,2,,0,
,2020-04-05 10:15:33,Chinese,0,0,0,0,0,1,2,0,-1,0,0,-1,-1,-1,1,1,0,4,1,2,4,4,2,2,2,2,2,2,helpful,helpful,helpful,helpful,yes,yes,yes,yes,yes,helpful,yes,yes,yes,helpful,helpful,helpful,yes,yes,helpful,helpful,helpful,both,4,4,3,4,3,4,4,3,4,4,3,2,1,2,2,2,1,0,2,2,2,2,2,2,1,0,6,7,4,1,3,0,1,4,0,3,Male,China,4,2,0,
,2020-04-05 11:49:46,Chinese,0,0,0,0,0,1,1,-1,-1,-1,0,-1,-1,-1,1,1,0,3,1,-99,3,4,-1,1,2,2,-1,-1,both,yes,yes,helpful,yes,yes,yes,yes,yes,,yes,yes,helpful,,,,yes,,helpful,helpful,,,4,4,4,5,5,5,4,5,5,4,2,2,1,1,1,2,0,0,2,2,1,3,3,2,3,0,6,6,5,1,4,4,1,5,0,2,Male,China,2,2,0,
,2020-04-06 03:58:25,Chinese,0,0,0,0,0,1,2,-1,-1,-1,1,1,1,-1,0,0,0,2,1,0,3,2,-2,-2,2,2,1,-1,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,3,3,3,3,3,3,3,3,3,3,3,1,1,2,1,1,2,0,2,2,2,2,2,2,2,0,5,8,5,1,4,0.1,1,3,0,3,Male,China,2,4,0,
,2020-04-06 05:39:05,Chinese,0,0,0,0,0,1,2,-1,-1,-1,1,-1,-1,-1,1,1,,2,-99,-99,4,4,-1,1,2,2,-3,-3,,,,,helpful,helpful,,helpful,helpful,,,,helpful,,,,,,,,,helpful,4,4,4,4,2,4,4,4,4,1,3,0,0,1,1,1,1,2,2,2,1,1,2,1,2,0,5,7,6,1,4,0.2,1,3,,3,Male,China,2,2,0,
,2020-04-06 05:40:04,Chinese,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,,1,0,1,4,4,1,1,1,1,-3,-2,both,yes,yes,helpful,helpful,helpful,yes,yes,yes,helpful,yes,yes,yes,helpful,helpful,helpful,helpful,both,both,both,yes,yes,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,8,8,8,1,1,0,1,,,3,Male,China,3,3,0,
,2020-04-06 05:58:01,Chinese,0,0,0,0,0,1,2,-1,-1,-1,0,0,0,1,0,1,1,4,1,3,4,1,-1,-1,-1,-1,-1,-1,both,yes,yes,yes,yes,both,both,both,both,yes,yes,yes,yes,helpful,helpful,helpful,yes,yes,yes,yes,yes,yes,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,4,0,2,Female,China,2,1,0,
,2020-04-06 05:59:05,Chinese,0,0,0,0,0,1,2,0,0,-1,1,1,1,1,1,1,0,4,3,3,4,3,2,2,2,2,2,2,helpful,helpful,helpful,helpful,yes,both,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,yes,helpful,helpful,helpful,helpful,helpful,3,3,3,4,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8,9,9,1,11,1,1,3,1,4,Male,China,2,5,0,
,2020-04-06 10:36:16,Chinese,0,0,0,0,0,1,2,0,0,,0,,,-1,0,0,0,2,2,2,2,3,1,2,1,2,1,1,yes,yes,helpful,helpful,both,helpful,yes,helpful,helpful,helpful,helpful,yes,yes,helpful,yes,helpful,yes,helpful,yes,yes,yes,yes,4,3,4,4,3,4,3,4,3,3,2,3,3,3,2,2,3,2,2,3,2,2,2,3,3,2,8,7,7,1,6,1,1,5,,3,Male,China,3,5,0,
,2020-04-06 10:39:58,Chinese,0,0,0,0,0,1,2,1,0,0,1,1,1,0,1,1,0,4,2,2,4,3,3,3,3,3,3,3,helpful,yes,both,helpful,yes,yes,yes,yes,both,helpful,yes,both,both,both,both,yes,both,helpful,yes,yes,yes,yes,5,4,4,4,4,4,4,4,4,4,2,2,2,3,3,3,3,0,2,2,2,3,3,3,3,0,5,7,6,1,2,2,1,2,0,3,Female,China,3,4,0,
,2020-04-06 11:09:28,Chinese,0,0,0,0,0,1,2,-1,-1,-1,-1,-1,-1,-1,0,0,0,2,2,2,2,2,-3,1,-2,1,-1,-2,helpful,helpful,helpful,helpful,yes,helpful,yes,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,yes,both,helpful,both,both,helpful,3,3,3,3,3,2,2,2,2,2,3,1,2,2,1,1,2,3,2,2,2,2,2,2,2,3,8,8,6,1,2,0,1,,,3,Male,China,3,4,0,
,2020-04-08 07:01:42,Chinese,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,,2,2,2,2,2,1,1,1,1,1,1,both,helpful,helpful,helpful,both,yes,yes,both,both,helpful,yes,yes,yes,yes,both,both,both,both,yes,both,yes,yes,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,1,8,8,8,1,5,,1,,,3,Male,China,2,4,0,
,2020-04-10 07:43:39,Chinese,0,0,0,0,0,1,2,-1,,-1,-1,-1,-1,1,1,1,0,-99,-99,-99,4,-99,3,3,3,3,3,3,,,,,,,,,yes,yes,yes,,,,,,,,,,,,4,4,4,4,4,1,1,1,1,1,2,1,1,1,1,1,0,0,2,1,1,1,1,1,1,1,8,8,8,1,4,0,1,4,0,2,Male,China,2,3,0,
,2020-04-10 07:47:19,Chinese,0,0,0,0,0,1,2,-1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,2,2,2,2,1,1,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,yes,helpful,helpful,helpful,helpful,both,helpful,yes,yes,yes,yes,yes,yes,yes,4,4,4,4,4,2,2,2,2,2,3,3,3,3,3,3,3,0,1,1,1,1,1,1,1,0,7,6,6,1,4,1,1,5,0,4,Male,China,3,2,0,
,2020-04-10 07:50:01,Chinese,0,0,0,0,0,1,1,0,1,0,0,0,0,-1,0,0,0,-99,-99,-99,1,2,2,2,1,1,1,-1,helpful,helpful,helpful,helpful,helpful,yes,helpful,helpful,yes,helpful,yes,yes,helpful,helpful,helpful,helpful,helpful,helpful,helpful,yes,yes,helpful,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,5,5,5,1,3,0,1,2,0,2,Male,China,2,2,0,1
,2020-04-10 07:50:05,Chinese,0,0,0,0,0,1,2,1,,,1,0,0,1,1,0,,3,2,1,4,3,2,2,2,2,-2,-2,helpful,helpful,yes,helpful,yes,yes,yes,yes,yes,helpful,yes,helpful,yes,helpful,helpful,helpful,helpful,both,helpful,helpful,yes,helpful,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,3,3,3,0,0,0,0,0,3,3,7,10,10,1,,,1,,,4,Male,China,2,2,,
,2020-04-10 07:51:16,Chinese,0,0,0,0,0,1,2,-1,-1,0,-1,-1,-1,-1,1,1,0,4,2,2,4,4,3,3,3,3,3,3,helpful,both,both,helpful,yes,yes,yes,yes,yes,helpful,yes,yes,yes,helpful,helpful,helpful,helpful,both,yes,yes,yes,yes,5,5,5,5,5,5,5,5,5,5,2,1,1,1,1,0,0,3,3,1,1,1,1,1,0,3,8,8,8,1,3,0,1,2,0,3,Male,China,2,2,0,
,2020-04-10 07:53:49,Chinese,0,0,0,0,0,1,2,0,,0,1,,,0,-1,-1,0,-99,-99,-99,3,-99,3,3,3,3,3,3,both,both,both,helpful,yes,yes,both,helpful,both,yes,yes,yes,yes,helpful,yes,yes,yes,yes,,yes,,helpful,2,4,2,3,4,4,4,4,4,4,3,0,1,1,3,1,2,3,4,3,0,1,2,1,2,3,6,8,9,0,5,0,1,4,0,3,Male,China,2,2,0,1
,2020-04-10 07:55:22,Chinese,0,0,0,0,0,1,2,-1,-1,-1,1,0,-1,-1,1,,0,2,2,-99,3,2,2,2,2,2,2,-1,yes,yes,yes,helpful,yes,yes,yes,yes,yes,yes,yes,helpful,yes,helpful,helpful,helpful,helpful,yes,helpful,yes,helpful,helpful,4,4,4,4,4,4,4,4,4,4,3,2,1,1,1,1,1,1,3,2,1,1,1,1,1,1,5,8,7,0,10,10,1,2,0,5,Male,China,2,2,0,1
,2020-04-10 07:56:16,Chinese,0,0,0,0,0,1,2,-1,-1,-1,-1,-1,-1,1,1,1,0,3,0,0,4,3,-1,1,3,3,3,3,helpful,both,both,both,yes,both,both,both,both,both,both,yes,yes,helpful,helpful,helpful,yes,both,yes,both,yes,both,4,4,4,4,4,4,4,4,4,4,3,1,1,0,2,1,0,2,3,1,1,1,2,1,0,2,8,8,9,0,10,10,1,4,0,5,Male,China,2,2,0,
