"ID","Language","AtLeastOneOpenResponse","COVIDStatus5","COVIDStatus4","COVIDStatus3","COVIDStatus2","COVIDStatus1","COVIDStatus0","Isolation","FR3","FR2","FR1","FR5","FR6","FR4","FR8","FR9","FR7","FR10","DP2","DP1","DP5","DP4","DP3","Erg2","Erg6","Erg4","Erg5","Erg3","Erg1","OS21","OS3","OS22","OS17","OS5","OS12","OS16","OS6","OS14","OS15","OS11","OS8","OS2","OS4","OS13","OS18","OS20","OS19","OS1","OS9","OS7","OS10","WHO5B3","WHO5B4","WHO5B5","WHO5B2","WHO5B1","WHO5S2","WHO5S3","WHO5S5","WHO5S1","WHO5S4","HPQB1","HPQB7","HPQB3","HPQB6","HPQB5","HPQB4","HPQB2","HPQB8","HPQS1","HPQS4","HPQS6","HPQS3","HPQS5","HPQS2","HPQS7","HPQS8","PerformanceOthers","PerB1item","PerS1item","RolesIncludeDeveloper","YearsOfExperience","YearsOfWorkFromHomeExperience","Fulltime","Coinhabitants","Children","Age","Gender","Country","Education","OrganizationSize","Disabilities","Timestamp"
1,"English",0,0,0,0,0,0,1,2,0,-1,-1,0,0,1,1,1,-1,,2,4,3,3,0,1,1,2,2,1,-2,"both",,"yes",,"yes",,,"both","helpful","helpful","both","both","helpful",,,"both","both","yes",,"both","both",,4,4,4,3,3,0,1,2,1,0,4,0,2,1,1,1,0,3,3,3,3,3,2,1,3,2,7,9,7,1,13,8,1,3,1,4,"Male","Brazil",3,3,0,2020-03-27 18:16:00
2,"English",0,0,0,0,0,0,1,2,-1,-1,-1,0,0,0,1,1,-1,0,4,4,2,4,1,3,1,3,3,3,-2,,,,,"helpful","both",,"both",,,"yes",,"both","helpful",,"both","both","helpful",,"both","both",,4,4,4,4,4,4,1,4,1,1,3,2,1,1,1,1,1,1,3,3,3,3,3,1,3,0,7,8,5,0,8,3,1,2,0,5,"Male","Canada",4,3,0,2020-03-27 18:19:26
3,"English",1,0,0,0,0,0,1,2,1,0,,1,0,0,-1,1,0,1,0,4,3,4,3,-1,-1,1,1,2,-2,,"yes",,,,,,,,,"yes",,,,"yes",,,"yes","yes","yes",,,2,2,2,2,2,2,2,3,2,3,3,1,1,1,2,2,1,2,2,3,2,2,2,2,3,1,6,8,6,1,8,1,1,2,0,4,"Male","India",2,5,0,2020-03-27 18:25:31
4,"English",1,0,0,0,0,0,1,2,-1,-1,-1,-1,-1,-1,1,1,-1,2,1,4,2,4,3,3,2,1,2,3,-2,,"helpful","yes","both","yes","yes","helpful","yes",,"helpful","helpful","yes","helpful","helpful",,"helpful","helpful","helpful",,"helpful","yes","helpful",4,4,5,4,4,3,4,4,3,4,2,2,2,1,1,2,0,1,2,3,3,3,3,3,2,-2,8,8,4,1,2,2,1,2,0,4,"Male","Canada",4,5,0,2020-03-27 18:26:32
5,"English",0,0,0,0,1,0,0,2,1,0,0,0,-1,0,1,1,0,0,3,2,3,3,3,-1,1,1,2,3,-2,"yes","yes","yes","helpful","yes","yes","helpful","yes",,,"yes","yes","helpful","helpful",,"yes","yes","yes","helpful","yes","yes",,4,3,4,3,3,1,1,3,1,1,2,1,1,2,1,0,2,1,1,2,3,2,1,3,2,-3,7,8,5,1,12,6,1,4,2,6,"Male","United States",2,2,0,2020-03-27 18:28:36
6,"English",1,0,0,0,0,0,1,2,-1,-1,-1,-1,-1,0,1,1,-1,0,2,4,4,4,3,3,2,3,1,2,2,,"yes","yes","helpful","yes","yes",,"yes","helpful","helpful","yes","yes","yes",,"yes","yes","yes","yes","yes","yes","yes",,4,4,3,4,4,3,3,3,3,3,1,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,7,8,9,1,9,5,1,2,0,6,"Male","Canada",4,6,0,2020-03-27 18:32:51
7,"English",1,0,0,0,1,0,0,2,1,0,0,1,0,1,0,1,1,1,4,4,4,4,4,-2,-3,3,-2,3,-3,,,,,,"both",,"both",,,"both","both",,,,"both",,"both",,"both","both",,3,3,4,3,3,1,1,2,1,1,2,0,1,1,0,1,0,1,0,2,2,1,3,1,2,0,8,8,7,0,10,0,1,4,2,5,"Female","Netherlands",2,3,0,2020-03-27 18:36:03
8,"English",0,0,0,0,0,0,1,3,0,-1,1,-1,-1,-1,0,1,-1,0,1,2,4,4,3,3,-1,3,1,3,-2,"helpful","both","both","helpful","helpful","helpful","both","helpful",,"both",,"helpful","helpful",,,"helpful","helpful","both","both","both","helpful",,0,0,2,1,0,1,1,3,1,1,0,0,1,2,2,2,0,-1,0,2,2,1,2,0,2,-1,6,5,5,1,0.5,0,0,3,0,2,"Male","Poland",1,6,0,2020-03-27 18:39:51
9,"English",1,0,0,0,0,0,1,2,1,-1,0,0,0,0,1,1,-1,0,3,4,1,4,0,2,1,2,2,3,2,"yes","yes","yes","yes","yes","yes","helpful","yes","helpful","helpful","yes","yes","yes","yes","helpful","yes","yes","yes","yes","yes","yes","helpful",4,4,4,4,5,0,0,0,0,0,4,1,0,1,0,0,1,3,1,4,4,3,2,3,4,-3,5,9,1,1,5,3,1,1,0,4,"Male","Canada",3,6,0,2020-03-27 18:53:38
10,"English",1,0,0,0,0,0,1,2,-1,-1,-1,-1,-1,-1,1,1,-1,0,4,3,4,4,4,2,3,3,3,3,-2,"yes","yes","yes",,"yes","yes",,"yes",,,"yes","yes","yes",,,"yes","yes","yes","yes","yes","yes",,3,2,3,3,3,3,3,3,3,3,2,1,1,2,2,2,1,2,1,1,2,2,1,1,2,0,8,8,7,1,15,1,1,4,1,5,"Male","United States",2,2,0,2020-03-27 18:54:01
11,"English",0,0,0,0,0,1,0,2,-1,-1,-1,-1,-1,-1,0,1,-1,0,0,3,4,4,3,2,1,2,2,2,1,,"yes",,,,"yes","helpful","yes",,,"yes",,,,,"yes","yes","yes",,"yes",,,3,2,4,3,4,4,1,3,2,2,3,0,1,1,1,1,0,2,2,1,1,1,1,0,0,1,7,8,7,1,5,0,1,1,0,3,"Male","United Kingdom",2,5,0,2020-03-27 18:56:02
12,"English",0,0,0,0,0,0,1,3,-1,-1,0,-1,-1,-1,0,0,1,1,0,2,3,4,-99,2,-2,2,-1,2,2,"helpful","yes","yes","helpful","helpful","helpful","helpful","yes","helpful","helpful","helpful","helpful","helpful","helpful","helpful","helpful","helpful","yes","helpful","helpful","helpful","yes",4,4,4,2,4,1,0,1,1,0,2,2,3,2,2,2,3,0,2,2,2,1,2,2,2,0,6,6,5,1,1,0,1,3,0,2,"Male","Nepal",2,2,0,2020-03-27 19:01:51
13,"English",1,0,0,0,0,0,1,1,1,-1,-1,-1,-1,0,1,1,-1,0,1,4,4,4,2,2,-1,3,-1,3,-2,"yes","yes","yes","yes","yes",,"helpful","yes",,"helpful",,"yes","yes","helpful","yes","yes","yes","yes","yes","yes","yes",,4,4,5,4,5,4,4,5,5,4,2,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,8,8,8,0,5,1,1,4,2,6,"Male","United States",2,4,0,2020-03-27 19:02:12
14,"English",0,0,0,0,0,0,1,2,0,0,0,1,-1,0,0,1,1,0,0,3,2,3,0,2,1,1,2,2,1,"yes","yes","yes",,"yes","yes","helpful","yes","helpful",,"yes","yes","helpful",,,"yes","helpful","yes","yes","yes","yes",,4,3,4,3,4,3,1,2,2,3,2,1,0,1,1,1,1,0,2,2,2,1,1,1,2,0,8,8,7,1,1,0,0,3,0,2,"Male","United States",3,2,0,2020-03-27 19:02:54
15,"English",0,0,0,0,0,0,1,2,0,-1,-1,0,-1,-1,1,1,1,0,4,0,2,4,3,1,-2,3,-1,3,-1,"helpful","helpful","both",,"helpful","both",,"both",,"helpful","both","both","both","both","both","both","both","both","both","both","both",,3,3,4,4,4,2,1,2,3,3,2,0,2,1,1,1,0,1,1,1,2,1,2,2,0,0,5,7,5,1,10,0,1,2,0,4,"Male","United States",3,4,0,2020-03-27 19:03:11
16,"English",0,0,0,0,0,0,1,2,1,1,0,1,-1,1,1,1,-1,4,0,4,4,3,4,2,2,2,2,2,1,"yes","helpful","yes","yes",,"yes",,"yes",,,"yes","yes","both",,,"yes","yes",,"yes","yes","yes","helpful",3,4,4,4,4,3,1,2,3,3,3,2,1,1,0,1,1,3,1,2,3,2,0,3,3,-1,5,7,4,1,8,7,1,1,0,4,"Male","Ireland",2,4,0,2020-03-27 19:05:10
17,"English",1,0,0,0,0,0,1,2,1,0,1,0,0,0,1,1,1,,3,3,3,4,1,2,-1,2,2,2,2,"yes","helpful","helpful","helpful","helpful","helpful","helpful","helpful","helpful","helpful","helpful","helpful","helpful","helpful","helpful","yes","helpful","yes","yes","yes","helpful","helpful",4,4,5,4,4,0,1,1,0,4,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,1,0.5,0,1,2,0,5,"Male","United States",2,2,0,2020-03-27 19:08:26
18,"English",0,0,0,0,0,0,1,2,1,-1,-1,-1,-1,-1,1,1,-1,,0,4,4,4,0,1,1,-1,2,2,3,"helpful","helpful","helpful","helpful","helpful","helpful","helpful","helpful","helpful","helpful","helpful","yes","helpful","helpful","helpful","yes","yes","helpful","helpful","helpful","helpful","helpful",5,4,4,4,4,4,1,1,2,3,2,0,0,0,2,1,0,0,1,2,1,1,2,0,0,0,7,7,6,1,1,0,1,3,0,2,"Male","Russia",2,2,0,2020-03-27 19:08:49
19,"English",1,0,0,0,0,0,1,1,1,1,1,-1,1,1,1,1,-1,1,4,4,4,4,4,2,3,3,3,3,1,"helpful","both","both","helpful","helpful",,"helpful","helpful","helpful",,"helpful","helpful","helpful","helpful",,"both","both","both","both","both","both",,5,3,5,3,4,2,3,3,3,4,2,0,1,2,2,2,2,1,2,1,1,1,1,1,2,1,7,8,8,1,9,0,1,2,0,5,"Male","United States",2,6,0,2020-03-27 19:11:43
20,"English",1,0,0,0,0,0,1,2,1,-1,-1,1,-1,-1,1,1,1,0,0,4,4,4,0,3,2,3,3,3,3,"yes","helpful","yes","helpful","helpful","helpful","helpful","helpful","helpful","helpful","yes","helpful","helpful","helpful","yes","yes","yes","yes","helpful","yes","yes","yes",4,1,3,2,3,3,2,4,2,4,2,0,1,1,0,2,1,0,2,0,0,0,0,1,0,1,8,7,8,1,1,0,1,2,0,3,"Male","United States",3,6,0,2020-03-27 19:13:56
21,"English",1,0,0,0,0,0,1,2,1,-1,0,-1,-1,0,1,1,0,0,0,3,4,3,3,3,1,2,1,3,-1,"helpful","yes","helpful","yes","yes","yes","helpful","yes","helpful","helpful","yes","helpful","yes","helpful","helpful","yes","yes","helpful","yes","yes","yes","helpful",3,3,4,4,4,4,2,4,3,3,3,0,1,1,1,1,1,2,3,2,2,2,2,1,0,2,8,8,6,0,1,0,1,2,0,4,"Male","United States",3,3,0,2020-03-27 19:14:07
22,"English",0,0,0,0,0,0,1,2,-1,-1,-1,-1,-1,-1,1,1,-1,0,4,4,3,3,4,2,1,2,1,1,1,,,"helpful",,,"both",,"both","helpful",,,,,,,"both","both","both","both","both","helpful",,2,2,1,4,3,4,3,1,4,3,2,0,0,3,1,3,1,1,2,1,1,0,1,0,0,1,6,7,7,1,7,0,1,3,0,3,"Male","Russia",3,4,0,2020-03-27 19:20:56
23,"English",1,0,0,0,0,1,0,2,1,1,0,-1,0,1,1,1,-1,0,4,4,4,3,4,3,3,3,3,3,-2,"helpful","both","helpful","helpful","both","both",,"both",,,,"helpful","helpful",,"helpful","both",,,"both","helpful","both","yes",4,4,4,5,4,3,2,2,2,2,4,0,1,1,1,1,0,3,1,3,4,3,3,3,0,-2,7,8,5,1,8,4,1,2,0,4,"Male","Italy",2,2,0,2020-03-27 19:21:12
24,"English",0,0,0,0,0,0,1,2,0,-1,-1,1,0,1,1,1,-1,0,2,4,3,4,4,1,2,1,1,2,-3,"helpful","both","both","helpful","helpful","both","helpful","helpful",,,"both","both","helpful",,,"both","yes","both","both","both","both","yes",4,3,4,4,4,1,0,1,1,0,3,1,2,1,1,1,1,3,1,3,3,3,3,3,3,-3,8,9,3,1,4,0,1,2,0,2,"Male","United States",1,6,2,2020-03-27 19:28:18
