ID,Timestamp,Language,COVIDStatus5,COVIDStatus4,COVIDStatus3,COVIDStatus2,COVIDStatus1,COVIDStatus0,Isolation,FR1,FR2,FR3,FR4,FR5,FR6,FR7,FR8,FR9,FR10,DP1,DP2,DP3,DP4,DP5,Erg1,Erg2,Erg3,Erg4,Erg5,Erg6,OS1,OS2,OS3,OS4,OS5,OS6,OS7,OS8,OS9,OS10,OS11,OS12,OS13,OS14,OS15,OS16,OS17,OS18,OS19,OS20,OS21,OS22,WHO5B1,WHO5B2,WHO5B3,WHO5B4,WHO5B5,WHO5S1,WHO5S2,WHO5S3,WHO5S4,WHO5S5,HPQB1,HPQB2,HPQB3,HPQB4,HPQB6,HPQB5,HPQB7,HPQB8,HPQS1,HPQS2,HPQS3,HPQS4,HPQS6,HPQS5,HPQS7,HPQS8,PerformanceOthers,PerB1item,PerS1item,RolesIncludeDeveloper,YearsOfExperience,YearsOfWorkFromHomeExperience,Fulltime,Coinhabitants,Children,Age,Gender,Country,Education,OrganizationSize,Disabilities,AtLeastOneOpenResponse
,2020-04-07 10:58:17,Italian,0,0,0,0,0,1,2,0,0,1,0,-1,-1,-1,1,1,,3,0,3,4,3,-2,2,1,-2,-1,1,yes,helpful,helpful,helpful,yes,yes,yes,yes,yes,yes,yes,yes,helpful,helpful,helpful,helpful,helpful,yes,yes,,helpful,yes,3,3,3,1,2,3,2,2,1,3,3,1,2,1,1,2,2,2,2,2,3,3,2,3,2,0,5,8,5,1,15,8,1,2,0,5,Male,Italy,1,1,0,1
,2020-04-07 11:50:03,Italian,0,0,0,0,0,1,2,1,0,1,-1,-1,0,1,0,1,0,1,2,3,2,-99,-3,1,1,1,2,1,helpful,helpful,helpful,helpful,both,helpful,yes,helpful,yes,yes,helpful,helpful,helpful,helpful,helpful,helpful,both,helpful,helpful,,helpful,helpful,2,2,2,2,3,2,2,2,2,2,3,1,1,0,1,3,2,0,2,2,2,2,2,2,,0,6,6,6,1,12,0,1,5,0,4,Male,Italy,3,1,0,0
,2020-04-07 12:02:16,Italian,0,0,0,0,0,1,2,0,-1,1,-1,0,0,-1,1,1,,3,2,3,4,4,1,3,3,3,2,3,yes,yes,,helpful,yes,yes,helpful,,yes,helpful,yes,,,,,,,yes,yes,,,yes,3,3,3,2,2,2,4,2,2,1,2,2,2,1,2,1,1,0,2,2,2,1,1,1,0,0,7,8,7,1,9,3,1,2,0,4,Male,Italy,3,4,0,1
,2020-04-07 12:04:36,Italian,0,0,0,0,0,1,2,-1,-1,1,1,0,-1,-1,-1,1,0,4,0,3,4,4,1,3,3,2,3,3,both,,both,,both,helpful,helpful,,both,,both,both,both,,,,both,both,,,both,both,3,3,3,2,4,3,3,3,4,5,3,1,2,2,1,0,2,2,3,1,1,2,0,0,2,2,8,9,9,0,10,0,1,2,0,4,Male,Italy,3,2,0,1
,2020-04-07 12:05:33,Italian,0,0,0,0,0,1,2,1,1,1,-1,0,-1,-1,1,1,0,4,0,4,4,4,-1,3,3,3,3,3,,helpful,both,helpful,,,,,both,,both,,,helpful,helpful,,helpful,both,both,,,both,5,4,5,5,4,3,3,3,3,2,3,0,2,1,1,2,0,2,1,1,2,1,1,2,2,2,7,8,7,1,15,4,1,1,0,4,Male,Italy,2,4,0,0
,2020-04-07 12:09:07,Italian,0,0,0,0,0,1,2,-1,-1,0,-1,-1,-1,-1,1,1,0,3,1,3,4,2,2,3,2,2,1,2,,,,,,yes,,yes,yes,,yes,yes,,,,,helpful,yes,,,,,1,1,2,1,1,5,5,5,5,4,2,2,3,3,3,3,0,2,3,2,1,1,1,2,0,2,7,7,9,1,14,0,1,2,0,6,Male,Italy,4,3,0,1
,2020-04-07 12:15:33,Italian,0,0,0,0,0,1,2,1,1,1,0,1,0,0,1,1,0,3,0,2,4,3,-1,-1,3,1,-1,3,yes,helpful,helpful,helpful,yes,yes,helpful,helpful,yes,helpful,yes,helpful,helpful,helpful,helpful,helpful,helpful,yes,yes,,helpful,yes,3,3,3,3,3,1,1,2,1,2,4,4,0,0,1,3,2,2,4,0,1,2,0,1,1,3,8,8,8,1,5,0,1,6,0,4,Male,Italy,3,2,0,1
,2020-04-07 12:19:17,Italian,0,0,0,0,0,1,2,1,1,1,1,1,1,-1,1,1,1,3,-99,2,4,-99,1,-3,3,3,-1,-1,,,,,,,,,,,yes,,,,,,,,yes,,,yes,4,2,2,2,5,2,2,2,4,3,3,2,2,2,2,2,2,0,2,2,2,2,2,2,3,0,6,6,6,1,7,0,1,2,0,5,Male,Italy,3,3,0,1
,2020-04-07 12:24:24,Italian,0,0,0,0,0,1,2,1,-1,1,0,-1,-1,-1,1,1,0,4,2,4,4,3,2,3,3,3,2,1,helpful,helpful,helpful,helpful,both,,,helpful,both,,both,both,,,,,helpful,yes,,,,yes,4,4,4,3,4,2,3,2,4,3,3,1,2,2,1,2,2,2,3,1,1,1,1,1,2,2,6,8,7,1,6,1,1,4,0,3,Male,Italy,2,4,0,0
,2020-04-07 12:26:23,Italian,0,0,0,0,0,1,2,0,-1,0,0,-1,-1,0,1,1,,3,2,3,4,-99,1,3,1,1,1,1,yes,,,,,,yes,,,,yes,,,,helpful,,,,yes,,helpful,yes,5,5,5,4,4,5,5,5,5,4,3,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,9,8,9,1,12,2,1,2,0,5,Male,Italy,3,3,0,0
,2020-04-07 12:29:39,Italian,0,0,0,0,0,1,2,-1,-1,1,-1,-1,0,-1,1,1,0,3,1,3,4,3,1,2,2,2,2,2,yes,helpful,helpful,helpful,yes,yes,helpful,helpful,yes,yes,yes,helpful,yes,helpful,helpful,helpful,yes,yes,helpful,,helpful,helpful,2,0,1,2,2,3,3,3,5,3,3,1,2,1,1,2,0,1,2,2,2,2,2,2,0,1,8,8,8,1,7,1,1,2,0,4,Male,Italy,3,3,0,0
,2020-04-07 12:34:53,Italian,0,0,0,0,0,1,2,1,-1,0,0,1,-1,-1,0,1,0,4,0,1,4,3,-3,3,2,-1,3,-3,yes,yes,helpful,helpful,yes,yes,yes,yes,yes,helpful,yes,yes,yes,helpful,helpful,helpful,helpful,yes,helpful,,helpful,yes,4,4,4,3,4,4,5,5,5,3,2,1,2,2,2,3,0,2,2,1,3,1,0,1,0,2,9,8,8,1,9,0,0,2,0,5,Male,Italy,3,1,0,0
,2020-04-07 12:36:09,Italian,0,0,0,0,0,1,2,-1,-1,1,0,-1,-1,0,1,1,,4,3,4,4,4,2,2,2,2,1,1,yes,helpful,yes,helpful,helpful,yes,yes,helpful,yes,helpful,yes,helpful,yes,helpful,helpful,helpful,helpful,yes,yes,,yes,yes,4,4,4,4,4,3,2,3,3,2,3,1,,,2,1,2,,,,,,,,,,7,9,9,1,,,,,,,,,,,,0
