"ID","Language","AtLeastOneOpenResponse","COVIDStatus5","COVIDStatus4","COVIDStatus3","COVIDStatus2","COVIDStatus1","COVIDStatus0","Isolation","FR3","FR2","FR1","FR5","FR6","FR4","FR8","FR9","FR7","FR10","DP2","DP1","DP5","DP4","DP3","Erg2","Erg6","Erg4","Erg5","Erg3","Erg1","OS21","OS3","OS22","OS17","OS5","OS12","OS16","OS6","OS14","OS15","OS11","OS8","OS2","OS4","OS13","OS18","OS20","OS19","OS1","OS9","OS7","OS10","WHO5B3","WHO5B4","WHO5B5","WHO5B2","WHO5B1","WHO5S2","WHO5S3","WHO5S5","WHO5S1","WHO5S4","HPQB1","HPQB7","HPQB3","HPQB6","HPQB5","HPQB4","HPQB2","HPQB8","HPQS1","HPQS4","HPQS6","HPQS3","HPQS5","HPQS2","HPQS7","HPQS8","PerformanceOthers","PerB1item","PerS1item","RolesIncludeDeveloper","YearsOfExperience","YearsOfWorkFromHomeExperience","Fulltime","Coinhabitants","Children","Age","Gender","Country","Education","OrganizationSize","Disabilities","Timestamp"
1,"Japanese",1,0,0,0,0,0,1,2,1,1,1,0,1,1,1,1,-1,0,4,4,4,3,3,1,-2,2,-2,3,1,"yes","both","yes","both","both","both","helpful","both","helpful","helpful","both","both","helpful","helpful","both","both",,"yes","helpful","both","both","helpful",5,5,5,3,5,4,5,5,5,5,3,3,2,1,1,2,1,3,3,2,2,2,2,1,2,3,5,10,9,1,10,3,1,2,0,4,"Male","Japan",2,1,0,2020-04-09 00:17:08
2,"Japanese",1,0,0,0,0,0,1,2,1,1,-1,-1,-1,1,1,1,-1,,-99,3,3,4,1,2,3,3,3,3,3,"yes","yes","yes","helpful","yes","yes","yes","yes","helpful","helpful","helpful","yes","helpful","yes","yes","yes","yes","yes","yes","yes","yes","yes",5,5,5,5,5,5,5,5,5,5,4,1,0,0,1,1,1,3,3,0,1,0,1,0,1,3,4,8,9,1,7,1,1,1,,3,"Male","Japan",2,3,0,2020-04-09 00:43:25
3,"Japanese",1,0,0,0,0,0,1,2,-1,-1,0,0,-1,-1,0,1,-1,5,2,1,4,3,0,2,1,2,-1,1,-3,"yes","yes","yes","helpful","yes",,"helpful","yes",,"helpful","yes","helpful","helpful","helpful",,"yes","yes",,"helpful","yes","helpful",,4,3,1,3,3,3,1,1,1,1,3,1,1,1,0,1,1,2,3,1,1,1,1,1,1,1,4,8,7,0,30,0.1,1,2,0,9,"Male","Japan",4,3,0,2020-04-09 09:03:36
4,"Japanese",1,0,0,0,0,0,1,2,1,1,1,0,1,1,0,1,-1,0,4,3,2,4,1,3,3,3,3,3,3,"both","both",,,"helpful","both","helpful","helpful",,,"both","helpful","helpful","helpful","yes","both","both","both","both","both","both","both",4,2,5,5,4,3,2,2,2,2,3,0,1,1,1,2,0,2,1,2,0,2,1,2,1,0,6,8,6,1,7,4,1,1,0,4,"Male","Japan",3,2,0,2020-04-09 13:29:38
5,"Japanese",1,0,0,0,0,0,1,2,-1,-1,-1,-1,-1,-1,1,1,-1,0,2,4,4,3,4,2,-2,2,-1,-1,2,"yes","yes","helpful","helpful","yes","yes","yes","yes","helpful","helpful","yes","helpful","helpful","helpful","yes","yes","yes","yes","yes","yes","helpful","helpful",5,3,5,5,5,5,4,5,5,4,3,0,2,2,1,1,1,3,4,1,1,1,1,1,0,3,6,8,9,0,16,1,1,4,2,5,"Male","Japan",2,2,0,2020-04-09 13:35:02
6,"Japanese",1,0,0,0,0,0,1,2,-1,0,1,-1,-1,0,0,0,-1,0,1,4,0,3,4,3,-1,3,3,3,2,"both","both","both","helpful","both",,,"both",,"helpful","both",,"helpful","helpful",,"both","both","both","both","both","both",,2,3,3,3,3,5,4,3,5,4,1,0,0,1,0,0,3,0,2,1,1,1,0,3,0,0,7,5,5,1,10,0,1,1,0,4,"Male","Japan",2,4,0,2020-04-09 13:44:11
7,"Japanese",0,0,0,0,0,0,1,2,0,1,0,-1,-1,1,-1,-1,1,10,2,2,0,1,1,3,3,3,3,3,-1,"both",,,,,,,,,,,,,,,"yes","yes","yes",,"yes",,,2,1,2,2,2,3,3,2,3,3,2,2,2,2,2,1,2,-1,2,2,3,3,3,2,1,-1,8,7,5,1,15,3,1,1,0,5,"Male","Japan",2,3,0,2020-04-09 13:56:57
8,"Japanese",1,0,0,0,0,0,1,2,1,0,0,1,0,1,1,1,-1,1,2,4,2,3,0,2,-2,3,3,3,1,"helpful","both","helpful",,"both","both",,"both","helpful","both","both","both","both",,"both","both","both","helpful","both","both","both",,3,3,3,2,3,2,2,3,3,3,2,3,2,3,2,2,2,1,2,3,3,3,2,2,3,0,8,8,4,1,10,2,1,3,1,5,"Male","Japan",3,3,0,2020-04-09 14:22:57
9,"Japanese",1,0,0,0,0,0,1,2,0,-1,0,1,-1,-1,1,1,-1,0,3,4,4,4,3,3,3,3,3,3,2,"yes","helpful","yes","helpful","yes","yes","yes","both","helpful","helpful","yes","helpful","helpful","helpful","yes","yes","yes","yes","yes","yes","helpful","helpful",5,4,4,4,4,3,3,2,4,4,3,3,3,4,4,2,1,3,1,3,1,3,4,3,2,0,4,8,4,1,12,0.2,1,2,0,5,"Male","Japan",3,3,0,2020-04-09 14:28:36
10,"Japanese",0,0,0,0,0,0,1,2,1,0,0,0,0,1,1,1,0,,4,3,1,4,3,3,3,3,3,3,2,"yes",,"yes",,"yes","both",,,,,"both",,,,"yes","both","yes","yes","both","both","both",,1,4,3,2,1,4,4,2,4,3,3,1,1,2,2,2,1,3,2,3,1,0,3,1,3,2,4,9,7,0,10,10,1,1,0,5,"Male","Japan",4,6,0,2020-04-09 14:38:07
