ID,Timestamp,Language,COVIDStatus5,COVIDStatus4,COVIDStatus3,COVIDStatus2,COVIDStatus1,COVIDStatus0,Isolation,FR1,FR2,FR3,FR4,FR5,FR6,FR7,FR8,FR9,FR10,DP1,DP2,DP3,DP4,DP5,Erg1,Erg2,Erg3,Erg4,Erg5,Erg6,OS1,OS2,OS3,OS4,OS5,OS6,OS7,OS8,OS9,OS10,OS11,OS12,OS13,OS14,OS15,OS16,OS17,OS18,OS19,OS20,OS21,OS22,WHO5B1,WHO5B2,WHO5B3,WHO5B4,WHO5B5,WHO5S1,WHO5S2,WHO5S3,WHO5S4,WHO5S5,HPQB1,HPQB2,HPQB3,HPQB4,HPQB6,HPQB5,HPQB7,HPQB8,HPQS1,HPQS2,HPQS3,HPQS4,HPQS6,HPQS5,HPQS7,HPQS8,PerformanceOthers,PerB1item,PerS1item,RolesIncludeDeveloper,YearsOfExperience,YearsOfWorkFromHomeExperience,Fulltime,Coinhabitants,Children,Age,Gender,Country,Education,OrganizationSize,Disabilities,AtLeastOneOpenResponse
,2020-04-07 05:51:35,Persian,0,0,0,0,1,0,2,1,1,1,-1,-1,-1,1,1,0,0,1,1,2,4,2,2,2,2,3,2,2,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,,helpful,helpful,3,3,4,3,4,3,3,4,3,2,4,2,1,2,2,2,3,2,3,3,1,3,1,3,3,1,7,5,3,0,13,12,0,3,1,6,Male,Iran,4,1,0,1
,2020-04-07 08:02:17,Persian,0,0,0,0,1,0,2,1,1,1,1,-1,-1,-1,-1,1,,2,3,2,4,2,3,3,3,3,3,3,helpful,yes,helpful,helpful,yes,yes,yes,yes,yes,helpful,yes,yes,yes,helpful,helpful,helpful,yes,yes,yes,helpful,helpful,yes,4,4,4,3,3,2,3,2,2,3,3,2,2,2,2,2,1,1,1,1,3,3,3,3,3,0,7,8,6,1,13,1,0,3,0,5,Male,Iran,3,2,0,1
,2020-04-07 08:12:06,Persian,0,0,0,0,1,0,2,1,1,1,0,0,-1,-1,1,1,,4,4,3,4,4,-1,-1,2,1,2,1,helpful,helpful,helpful,helpful,helpful,,,,,helpful,yes,,,,,,,helpful,,,helpful,,3,4,3,3,3,3,3,3,3,3,2,1,1,1,1,1,2,0,3,1,1,1,0,1,0,0,8,9,9,0,5,,0,5,3,4,Female,Iran,3,2,0,0
,2020-04-07 15:07:06,Persian,0,0,0,0,1,0,2,-1,-1,0,-1,1,-1,1,0,1,,2,0,0,0,2,-3,-1,1,2,-3,-3,helpful,helpful,,helpful,both,both,helpful,helpful,both,,yes,both,,helpful,,,both,yes,both,helpful,,helpful,3,3,3,5,4,1,0,0,0,1,2,2,1,1,2,1,0,-1,0,4,3,3,4,4,3,-1,7,8,4,1,3,0,1,3,0,2,Male,Iran,1,2,0,0
,2020-04-07 17:03:03,Persian,0,0,0,0,1,0,2,1,0,0,-1,-1,-1,-1,-1,1,0,1,1,1,4,3,-1,1,3,3,3,2,helpful,helpful,helpful,helpful,yes,yes,yes,helpful,yes,yes,yes,helpful,both,helpful,helpful,helpful,helpful,yes,yes,yes,yes,yes,4,4,5,3,4,4,4,4,5,4,3,1,1,1,1,1,2,2,3,3,0,1,1,1,1,2,6,8,8,0,5,0,1,4,2,4,Female,Iran,3,2,0,0
,2020-04-07 22:49:53,Persian,0,0,0,0,1,0,2,1,1,1,0,1,0,-1,1,1,,3,1,1,3,1,3,3,3,3,1,3,yes,helpful,yes,helpful,yes,yes,yes,helpful,yes,helpful,yes,yes,,helpful,helpful,helpful,yes,helpful,,helpful,helpful,helpful,4,5,5,3,4,1,3,2,2,2,3,1,1,3,3,1,3,2,3,0,1,0,3,3,3,2,4,7,6,1,3,0,1,4,0,4,Male,Canada,3,5,0,0
,2020-04-08 05:28:08,Persian,0,0,0,0,1,0,2,-1,0,1,-1,-1,-1,0,1,1,0,4,1,2,4,4,-1,1,3,3,1,1,both,both,both,helpful,both,both,both,both,both,,,yes,,,helpful,both,both,both,both,helpful,helpful,,5,4,5,3,4,4,4,4,2,4,1,1,2,2,1,2,2,0,1,1,3,3,1,3,3,0,8,10,8,1,10,1,1,3,1,5,Male,Canada,4,1,0,1
,2020-04-11 04:55:45,Persian,0,0,0,0,1,0,2,1,0,1,0,-1,-1,0,1,1,,3,1,0,2,2,2,2,2,2,2,2,helpful,yes,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,yes,helpful,helpful,helpful,helpful,4,4,3,4,5,5,3,3,5,4,2,2,2,2,2,2,1,2,1,1,1,1,0,1,3,0,7,8,7,1,1,0.5,1,1,0,3,Male,Iran,3,1,0,1
,2020-04-14 05:54:08,Persian,0,0,0,0,1,0,3,1,1,1,-1,-1,-1,0,1,1,1,2,2,1,-99,3,-1,3,3,3,2,3,yes,helpful,helpful,helpful,helpful,yes,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,3,3,3,3,3,1,1,1,1,1,2,1,2,2,2,2,1,0,,,,,,,,0,5,4,3,0,3,0,1,2,0,4,Female,United States,4,1,,0
,2020-04-07 05:26:37,Persian,0,0,0,1,0,0,2,1,1,1,1,0,0,0,0,1,0,4,4,4,2,4,2,2,2,2,2,2,helpful,helpful,helpful,helpful,helpful,helpful,yes,helpful,helpful,yes,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,helpful,3,3,3,4,4,2,2,2,2,2,2,1,1,2,1,1,2,0,1,1,3,1,1,1,1,-1,7,8,4,1,3,2,0,3,0,3,Female,Iran,3,2,0,1
,2020-04-07 00:28:17,Persian,0,0,0,1,0,0,1,1,1,1,-1,0,1,1,1,1,,4,1,4,2,4,3,3,,3,3,1,helpful,yes,helpful,helpful,yes,yes,yes,yes,helpful,helpful,yes,helpful,helpful,helpful,helpful,helpful,yes,yes,yes,helpful,yes,yes,5,5,5,5,5,4,5,5,3,5,3,1,2,2,1,2,2,2,3,1,1,1,1,1,0,2,7,8,9,1,2,0,0,4,0,2,Male,Iran,2,1,0,1
,2020-04-07 06:53:27,Persian,0,0,0,1,0,0,2,0,-1,-1,-1,-1,-1,-1,0,1,,3,4,3,4,4,2,3,2,3,3,2,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,helpful,yes,,,yes,yes,yes,,,4,4,4,4,4,3,3,3,3,4,4,0,1,2,0,2,2,2,3,0,1,1,0,1,1,2,7,9,8,1,6,,1,2,0,4,Male,United States,4,6,0,0
,2020-04-07 16:56:34,Persian,0,0,0,1,1,0,2,-1,-1,1,-1,-1,-1,1,0,1,0,1,2,1,2,3,-1,-2,-2,-2,-3,1,both,,,,,both,,,both,,,,,,,,,,,,,,4,4,4,5,4,4,3,2,2,3,3,1,2,2,1,1,0,2,3,1,3,3,3,3,1,0,4,8,6,1,2,1,0,4,0,2,Male,Iran,2,1,0,1
,2020-04-07 05:24:45,Persian,0,0,0,1,1,0,2,1,0,1,0,0,0,1,1,1,,2,2,4,4,3,3,2,3,3,-3,-2,helpful,helpful,helpful,helpful,helpful,yes,yes,helpful,yes,helpful,helpful,yes,yes,helpful,helpful,helpful,helpful,yes,helpful,helpful,helpful,helpful,4,3,3,5,4,3,3,2,1,3,1,0,1,1,1,0,3,0,1,1,3,3,1,1,1,0,8,6,6,1,7,0,1,2,0,3,Male,Iran,2,3,0,1
,2020-04-07 16:36:03,Persian,0,0,0,0,0,1,2,1,1,1,0,-1,-1,0,0,1,0,3,3,2,4,4,1,2,2,-1,2,1,both,both,both,helpful,both,both,both,,both,,both,both,both,,,helpful,,both,both,both,helpful,both,4,3,4,4,4,3,3,4,4,4,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,1,7,8,7,1,15,0,1,3,1,6,Male,Canada,2,4,0,1
