"ID","Language","AtLeastOneOpenResponse","COVIDStatus5","COVIDStatus4","COVIDStatus3","COVIDStatus2","COVIDStatus1","COVIDStatus0","Isolation","FR3","FR2","FR1","FR5","FR6","FR4","FR8","FR9","FR7","FR10","DP2","DP1","DP5","DP4","DP3","Erg2","Erg6","Erg4","Erg5","Erg3","Erg1","OS21","OS3","OS22","OS17","OS5","OS12","OS16","OS6","OS14","OS15","OS11","OS8","OS2","OS4","OS13","OS18","OS20","OS19","OS1","OS9","OS7","OS10","WHO5B3","WHO5B4","WHO5B5","WHO5B2","WHO5B1","WHO5S2","WHO5S3","WHO5S5","WHO5S1","WHO5S4","HPQB1","HPQB7","HPQB3","HPQB6","HPQB5","HPQB4","HPQB2","HPQB8","HPQS1","HPQS4","HPQS6","HPQS3","HPQS5","HPQS2","HPQS7","HPQS8","PerformanceOthers","PerB1item","PerS1item","RolesIncludeDeveloper","YearsOfExperience","YearsOfWorkFromHomeExperience","Fulltime","Coinhabitants","Children","Age","Gender","Country","Education","OrganizationSize","Disabilities","Timestamp"
1,"Russian",0,0,0,0,0,0,1,1,0,-1,-1,-1,-1,-1,1,1,-1,0,3,2,2,4,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,6,0,6,0,1,3,0,3,"Male","Netherlands",3,4,0,2020-04-07 00:37:19
2,"Russian",1,0,0,0,0,1,0,2,1,-1,1,-1,-1,-1,1,1,0,0,4,4,4,4,0,3,3,1,3,3,-1,"both","helpful","both","helpful","helpful","helpful","helpful","both","helpful",,"helpful","both","helpful",,,"both","both","helpful","both","both","both",,4,2,3,2,4,4,3,1,3,4,3,1,2,1,1,1,1,2,3,2,1,2,1,1,1,2,7,8,8,1,10,0,1,2,0,3,"Male","Russia",2,2,0,2020-04-07 15:23:51
3,"Russian",0,0,0,0,0,0,1,2,0,-1,0,-1,-1,-1,1,1,-1,0,0,3,4,4,0,3,1,-1,1,3,1,"helpful","both","both",,"both","helpful",,"both","helpful",,,"helpful","helpful","helpful",,"both","both","both","both","both","helpful",,4,4,3,3,3,3,4,2,3,4,4,0,0,4,1,0,0,2,4,0,1,0,1,0,0,2,7,8,8,1,10,0,1,2,0,5,"Male","Russia",4,3,0,2020-04-07 15:26:21
4,"Russian",1,0,0,0,0,0,1,2,0,-1,-1,-1,-1,0,0,1,-1,1,2,3,4,3,3,3,-1,3,-1,3,2,"helpful","helpful",,"yes","yes",,"helpful","yes",,,,"helpful",,,,"helpful","yes","yes","yes",,"helpful","yes",4,1,4,1,5,3,5,3,4,5,3,0,2,2,2,2,2,0,2,2,1,2,1,1,2,0,6,5,5,1,6,0,1,2,0,3,"Female","Russia",3,4,0,2020-04-07 15:32:33
5,"Russian",1,0,0,0,0,1,0,1,-1,-1,-1,-1,-1,-1,1,1,-1,0,1,3,4,1,3,3,1,1,1,3,3,"helpful","helpful","yes","yes","yes","yes","helpful","yes","helpful","helpful","yes","yes","helpful","helpful","helpful","yes","yes","helpful","yes","yes","yes","yes",5,3,5,5,5,5,5,5,5,5,2,0,2,2,2,2,2,0,2,2,1,2,2,2,0,0,7,8,8,1,4,0,1,2,0,3,"Female","Russia",3,2,0,2020-04-07 15:37:51
6,"Russian",0,0,0,0,0,0,1,3,1,1,0,-1,-1,-1,1,1,-1,0,2,4,4,4,1,-2,1,-1,-2,1,1,"helpful","yes","helpful","yes","yes","yes",,"yes","helpful","helpful","yes",,"helpful","helpful",,"yes","helpful","yes","yes","yes","yes",,4,4,4,3,4,5,4,4,4,5,2,0,0,3,2,2,2,1,2,2,2,0,0,2,0,1,10,10,10,0,9,2,1,2,0,4,"Female","Russia",3,3,0,2020-04-07 15:45:34
7,"Russian",0,0,0,0,0,0,1,1,-1,-1,0,-1,-1,0,1,1,-1,0,4,4,4,4,4,1,-3,3,-2,3,-2,"helpful","both","both",,,"yes",,,,,"both","both",,,,"both","both","both","both","yes","both",,5,4,5,4,4,1,3,4,3,4,1,0,0,2,1,2,3,0,1,2,3,2,1,3,1,-2,7,7,5,0,14,0,1,0,0,5,"Male","Russia",2,4,0,2020-04-07 15:49:20
8,"Russian",1,0,0,0,0,0,1,2,0,-1,-1,-1,-1,-1,1,1,0,2,1,1,4,2,2,2,1,1,1,3,1,"yes","yes","yes",,"yes","helpful","helpful","yes",,,,,,,,"yes","helpful","yes","yes","yes",,,2,3,1,3,3,3,2,1,3,3,3,0,0,1,1,1,1,2,3,1,1,1,1,1,0,2,6,9,9,0,4,0,1,1,0,3,"Male","Russia",2,2,,2020-04-07 17:14:36
9,"Russian",0,0,0,0,0,0,1,2,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,4,3,2,4,2,-3,2,-3,3,-2,,,"both",,"both","both","both","both",,,"yes","both",,,,"both","both",,"both","both",,,4,4,4,3,4,3,4,2,4,4,3,0,1,2,1,1,1,2,3,1,2,2,1,1,1,2,7,9,9,1,10,0,1,3,1,3,"Female","Germany",3,4,0,2020-04-07 17:38:12
10,"Russian",1,0,0,0,0,0,1,2,1,-1,1,1,0,1,-1,1,-1,0,0,2,2,2,1,1,1,-1,2,1,1,"helpful","helpful","helpful","helpful","helpful","yes","helpful","yes","helpful","helpful","helpful","helpful","helpful","helpful",,"yes",,,"yes","yes","helpful",,1,1,1,0,1,1,3,1,1,4,2,2,1,1,1,1,1,0,1,2,3,2,3,2,4,0,8,8,7,0,10,0,1,2,0,4,"Female","Russia",3,4,0,2020-04-07 17:40:41
