"ID","Language","AtLeastOneOpenResponse","COVIDStatus5","COVIDStatus4","COVIDStatus3","COVIDStatus2","COVIDStatus1","COVIDStatus0","Isolation","FR3","FR2","FR1","FR5","FR6","FR4","FR8","FR9","FR7","FR10","DP2","DP1","DP5","DP4","DP3","Erg2","Erg6","Erg4","Erg5","Erg3","Erg1","OS21","OS3","OS22","OS17","OS5","OS12","OS16","OS6","OS14","OS15","OS11","OS8","OS2","OS4","OS13","OS18","OS20","OS19","OS1","OS9","OS7","OS10","WHO5B3","WHO5B4","WHO5B5","WHO5B2","WHO5B1","WHO5S2","WHO5S3","WHO5S5","WHO5S1","WHO5S4","HPQB1","HPQB7","HPQB3","HPQB6","HPQB5","HPQB4","HPQB2","HPQB8","HPQS1","HPQS4","HPQS6","HPQS3","HPQS5","HPQS2","HPQS7","HPQS8","PerformanceOthers","PerB1item","PerS1item","RolesIncludeDeveloper","YearsOfExperience","YearsOfWorkFromHomeExperience","Fulltime","Coinhabitants","Children","Age","Gender","Country","Education","OrganizationSize","Disabilities","Timestamp"
1,"Spanish",0,0,0,0,0,0,1,3,1,-1,1,1,0,0,1,1,-1,0,3,4,4,4,-99,3,3,3,3,3,3,,,"yes","yes","yes","yes",,,,,"yes",,,,"yes","yes",,,,"yes","yes",,5,5,5,5,5,3,2,3,2,2,3,2,2,,0,1,0,2,2,2,1,1,1,1,2,1,6,9,8,1,5,0,1,2,0,5,"Male","Spain",3,3,0,2020-04-06 11:37:49
2,"Spanish",0,0,0,0,0,0,0,3,1,0,-1,-1,-1,-1,1,1,-1,2,0,1,4,4,2,3,3,3,3,1,3,,,"yes",,"yes",,,,,,"yes","helpful",,,,"yes",,,"yes","yes","yes",,5,5,5,4,5,4,5,5,5,5,3,3,1,1,1,1,0,3,1,1,1,1,1,1,0,3,8,10,8,1,6,1,1,2,0,3,"Female","Spain",2,3,0,2020-04-06 11:48:59
3,"Spanish",1,0,0,1,0,0,0,2,1,-1,0,1,-1,-1,-1,1,-1,0,2,2,2,3,2,1,-1,1,1,1,1,,"both","both",,,"both",,"both",,,"both",,,,,,,,"both","both",,,1,1,1,1,1,2,1,1,2,2,2,2,1,2,0,1,1,0,1,1,1,1,1,1,2,0,7,7,7,1,4,0,1,2,0,4,"Male","Spain",3,3,0,2020-04-06 11:49:55
4,"Spanish",1,0,0,0,0,0,1,2,1,0,-1,-1,-1,-1,1,1,-1,0,3,3,4,4,1,1,-1,3,2,3,1,"yes","yes","yes","helpful","helpful","yes","helpful","yes","helpful","helpful","yes","yes","yes","helpful","helpful","yes","yes","yes","helpful","yes","yes","yes",3,4,4,3,3,3,3,2,3,3,4,0,1,2,2,1,0,3,4,1,1,1,1,0,2,3,7,9,9,1,13,1,1,4,2,5,"Male","Ireland",2,4,0,2020-04-06 11:52:29
5,"Spanish",1,0,0,0,0,0,1,2,1,-1,-1,-1,-1,-1,1,1,-1,,3,4,3,4,1,3,3,1,1,3,3,,,,,"helpful",,,"yes",,,"helpful",,,,,,"yes","yes","yes","yes",,,3,3,4,4,4,3,2,2,3,1,3,2,1,1,1,1,1,3,0,2,3,2,2,2,2,0,6,9,4,1,12,0,0,2,0,4,"Male","Spain",4,2,0,2020-04-06 11:57:30
6,"Spanish",1,0,1,1,0,0,0,3,0,-1,-1,0,0,-1,1,1,-1,,4,4,4,4,2,-1,-2,1,1,2,-2,"helpful","yes","helpful","helpful","yes",,"yes","yes","helpful","helpful","yes","helpful","helpful","helpful",,"yes","helpful","helpful","yes","yes","helpful",,4,4,3,2,4,3,3,3,3,3,2,0,0,2,2,2,0,1,1,1,1,1,1,2,1,0,7,8,6,1,20,,1,4,,6,"Male","Spain",1,3,0,2020-04-06 12:06:51
7,"Spanish",0,0,0,0,1,0,0,2,1,0,1,1,-1,0,1,1,-1,0,3,3,3,4,0,-2,1,-1,3,2,-3,,,"yes",,"both","yes",,"both",,,"yes","both","both",,"both","both",,"yes","both","both","both",,3,3,3,3,4,1,1,2,2,1,2,2,1,2,1,1,2,0,1,2,3,1,2,3,2,-2,6,8,4,1,4,3,1,4,0,3,"Male","Spain",2,2,0,2020-04-06 12:14:09
8,"Spanish",1,0,0,0,0,0,1,2,-1,-1,-1,-1,1,-1,1,1,-1,,4,3,4,4,1,1,3,3,3,3,1,"helpful","yes","yes","yes","yes","yes",,"yes",,,"yes","helpful","helpful","helpful",,"yes","yes","yes","yes","yes","helpful","yes",3,3,3,2,3,2,3,3,3,3,2,1,1,3,1,2,0,0,2,1,2,1,2,1,2,0,8,8,7,1,12,4,1,2,0,4,"Male","Spain",3,2,0,2020-04-06 12:21:00
9,"Spanish",0,0,0,0,0,0,1,2,1,-1,-1,-1,-1,-1,1,1,-1,0,2,3,3,4,3,3,2,2,2,1,2,,,"yes",,,,,,,,,,,,"yes","yes","yes","yes","yes","yes","helpful",,4,4,4,5,5,4,3,3,4,4,0,1,0,1,0,4,0,0,0,0,1,0,1,0,2,0,8,8,8,1,8,0,1,2,0,4,"Male","Spain",3,2,0,2020-04-06 12:26:43
10,"Spanish",1,0,0,0,0,0,0,2,0,-1,-1,0,-1,0,1,1,-1,0,2,4,4,4,2,3,1,1,1,2,2,,,"helpful","yes","yes",,,"yes",,,,"yes","helpful",,,"helpful",,"helpful","helpful","yes","yes",,4,2,2,3,3,5,4,5,4,4,2,2,2,3,2,2,2,2,3,1,2,1,1,1,2,1,7,8,9,1,17,0,1,4,0,7,"Female","Spain",3,4,0,2020-04-06 12:37:21
11,"Spanish",1,0,0,0,0,0,1,3,1,0,0,-1,0,-1,-1,1,0,0,3,4,4,4,4,1,-1,-1,1,-1,-2,"helpful","yes","yes","yes","yes","yes","helpful","yes","helpful","helpful","yes","yes","helpful","helpful","helpful","yes","helpful","yes","yes","yes","yes","yes",4,3,4,4,4,2,3,4,2,3,3,0,2,1,1,2,1,2,3,2,2,2,1,1,2,1,8,9,8,1,4,10,1,4,2,6,"Male","Spain",2,3,,2020-04-06 12:37:42
12,"Spanish",0,0,0,0,0,0,1,2,0,-1,1,-1,-1,-1,1,0,0,1,3,2,2,4,3,-3,-2,-2,-2,-3,-3,,,"helpful","helpful","helpful","yes","helpful",,"helpful",,"helpful","yes","yes",,,"yes","yes","yes","yes","yes","yes","helpful",3,3,3,3,3,3,1,3,2,2,4,1,2,1,2,2,1,3,2,2,2,4,2,2,2,1,7,9,7,0,15,2,1,4,2,4,"Male","United States",1,6,0,2020-04-06 13:35:45
13,"Spanish",1,0,0,0,0,0,1,2,1,-1,-1,1,-1,-1,-1,1,0,,0,0,4,4,0,3,3,3,2,3,3,"helpful","yes","yes","helpful","yes","yes","helpful","yes","helpful","helpful","yes","yes","yes","helpful","helpful","yes","yes","yes","helpful","yes","yes","yes",4,3,4,4,5,2,3,2,3,4,3,1,0,1,2,1,1,1,3,1,1,0,1,1,2,3,8,7,9,0,4,7,1,2,0,3,"Female","Spain",2,2,0,2020-04-06 14:30:25
14,"Spanish",0,0,0,0,0,0,0,2,1,-1,-1,1,-1,-1,1,1,-1,0,2,2,4,4,2,1,-2,1,-2,3,-1,,,,,,,,"yes",,,,,,,"yes","yes",,,,,,,2,4,1,3,2,3,3,3,3,4,3,1,1,1,1,1,0,2,1,0,1,1,1,0,1,2,6,8,7,0,20,0,1,3,1,7,"Male","Spain",2,3,0,2020-04-06 14:59:04
15,"Spanish",1,0,0,0,0,0,1,2,1,-1,0,-1,-1,-1,-1,1,-1,,1,4,4,4,4,3,-1,1,1,3,3,"yes","yes","yes","yes","yes","helpful","helpful","yes","helpful","yes","helpful","yes","yes","yes","helpful","yes","yes","yes","yes","yes","yes","helpful",5,5,5,5,5,5,5,5,5,5,2,1,2,3,2,3,2,0,0,3,2,2,1,2,2,0,10,9,9,1,20,15,1,2,0,6,"Male","Spain",0,1,,2020-04-06 15:45:52
