"ID","Language","AtLeastOneOpenResponse","COVIDStatus5","COVIDStatus4","COVIDStatus3","COVIDStatus2","COVIDStatus1","COVIDStatus0","Isolation","FR3","FR2","FR1","FR5","FR6","FR4","FR8","FR9","FR7","FR10","DP2","DP1","DP5","DP4","DP3","Erg2","Erg6","Erg4","Erg5","Erg3","Erg1","OS21","OS3","OS22","OS17","OS5","OS12","OS16","OS6","OS14","OS15","OS11","OS8","OS2","OS4","OS13","OS18","OS20","OS19","OS1","OS9","OS7","OS10","WHO5B3","WHO5B4","WHO5B5","WHO5B2","WHO5B1","WHO5S2","WHO5S3","WHO5S5","WHO5S1","WHO5S4","HPQB1","HPQB7","HPQB3","HPQB6","HPQB5","HPQB4","HPQB2","HPQB8","HPQS1","HPQS4","HPQS6","HPQS3","HPQS5","HPQS2","HPQS7","HPQS8","PerformanceOthers","PerB1item","PerS1item","RolesIncludeDeveloper","YearsOfExperience","YearsOfWorkFromHomeExperience","Fulltime","Coinhabitants","Children","Age","Gender","Country","Education","OrganizationSize","Disabilities","Timestamp"
1,"Turkish",0,0,0,0,0,0,1,2,1,-1,0,-1,-1,-1,-1,-1,1,,-99,2,-99,3,-99,-3,-2,2,2,3,-3,"helpful","both","helpful","helpful","helpful","both","helpful","helpful","helpful","helpful","both","helpful","helpful","helpful",,"both","helpful","helpful","helpful","both","helpful",,2,1,2,3,1,1,1,1,1,1,2,3,3,3,3,3,2,3,2,3,3,3,2,2,1,,8,9,6,1,15,10,1,5,3,5,"Male","Turkey",4,4,0,2020-04-06 12:57:54
2,"Turkish",0,0,0,0,0,1,0,2,1,-1,-1,-1,-1,1,1,1,-1,,0,2,4,4,2,1,-1,2,1,3,1,"helpful","both","both","both","both","both","both","both",,"both","helpful","both","helpful","helpful",,"both","both","both","both","both","helpful",,4,2,2,3,3,3,4,3,3,4,2,2,0,1,1,1,1,1,1,2,2,0,1,1,2,0,6,8,8,1,19,0,1,5,2,6,"Male","Turkey",3,4,0,2020-04-06 12:58:59
3,"Turkish",1,0,0,0,0,0,1,2,0,-1,0,0,-1,-1,1,0,1,0,-99,3,4,0,2,-1,-1,1,1,2,-1,"helpful","helpful","helpful",,,,,"helpful","helpful",,"yes","helpful",,"helpful","yes","yes","yes","yes","yes","yes","yes",,3,2,4,3,4,1,1,2,1,4,2,4,1,1,2,4,2,-1,2,3,3,1,2,2,1,0,8,8,7,1,3,1,0,6,1,2,"Male","Turkey",2,2,0,2020-04-07 02:01:20
4,"Turkish",1,0,0,0,0,0,1,2,0,0,-1,-1,-1,-1,-1,1,0,0,0,2,4,4,3,-1,1,2,1,2,-2,"helpful","both",,,"helpful","both",,"both",,"helpful",,"helpful","helpful","helpful",,"both","both",,"both",,"helpful",,3,4,3,3,4,4,4,3,4,2,3,3,2,2,1,2,1,2,3,1,2,0,1,1,3,0,6,9,8,1,8,0,1,4,1,5,"Male","Turkey",2,2,0,2020-04-06 15:19:41
5,"Turkish",1,0,0,0,0,0,1,2,1,0,0,-1,-1,0,1,1,-1,0,0,3,3,4,3,3,-2,3,-2,3,2,"yes","yes","yes",,"helpful","yes","helpful","yes",,,"yes","yes",,"helpful","yes","yes","yes","yes","yes","yes","yes",,4,4,3,3,4,3,4,3,3,4,3,1,1,1,1,1,1,3,3,1,2,2,1,1,2,,6,9,8,1,15,0.25,1,2,0,5,"Male","Austria",3,4,0,2020-04-06 16:21:27
6,"Turkish",0,0,0,0,0,1,0,2,1,-1,0,-1,-1,-1,1,1,-1,0,1,4,2,4,4,-1,-3,3,-3,2,-3,"helpful","yes","helpful","helpful","yes","helpful","yes","yes",,"helpful","yes","helpful","helpful","yes","yes","yes","yes","yes","yes","yes","yes",,3,4,3,4,4,4,3,4,4,4,3,1,0,2,0,2,0,3,2,3,3,3,3,1,3,,8,10,5,1,11,1,1,4,2,4,"Male","Turkey",3,3,0,2020-04-06 19:55:47
7,"Turkish",0,0,0,0,0,0,1,2,1,1,0,-1,-1,0,0,1,1,,0,4,4,4,2,2,-2,-2,-2,2,-2,"yes","yes",,"yes",,,,,,,"yes","helpful",,,,"yes","yes",,"helpful","yes","yes","yes",4,4,4,4,4,2,1,3,3,3,3,2,1,1,0,1,1,2,2,,3,2,3,2,2,0,5,9,4,0,6,3,1,3,1,4,"Male","United States",3,3,0,2020-04-06 20:16:46
8,"Turkish",1,0,0,0,0,0,1,2,1,-1,-1,1,-1,-1,1,1,1,,0,4,0,3,2,-2,-3,2,-3,1,-2,,"helpful","helpful","helpful","helpful",,"yes","helpful",,"helpful","both","helpful","helpful","helpful",,"both",,,"helpful","yes","helpful",,3,3,3,3,3,3,2,2,3,2,2,0,1,2,2,2,2,1,2,2,3,2,3,2,0,,5,9,7,1,20,2,1,4,2,7,"Male","Ireland",4,6,0,2020-04-07 08:37:02
9,"Turkish",1,0,0,0,0,0,1,3,1,1,1,1,0,1,1,1,-1,0,2,4,4,4,4,3,3,3,3,3,3,"helpful","helpful","both","helpful",,,"helpful","helpful",,"helpful","helpful","helpful","helpful","helpful",,"both","helpful","helpful",,"both","helpful","both",4,4,4,4,4,0,0,1,1,1,4,3,1,1,0,1,0,3,4,1,2,1,1,0,2,,7,9,9,1,14,0,1,1,0,5,"Male","Turkey",4,2,0,2020-04-08 02:05:50
10,"Turkish",1,0,0,0,0,0,1,2,1,1,1,-1,-1,0,1,1,-1,,4,4,4,4,4,3,3,3,3,3,3,"yes","yes","yes","yes","yes","helpful","helpful","yes","yes","helpful","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","helpful",4,4,3,3,4,4,5,5,4,5,4,0,1,3,1,1,0,3,4,1,1,1,1,0,1,,9,10,10,0,20,10,1,2,0,5,"Male","Turkey",4,1,0,2020-04-08 16:55:33
11,"Turkish",0,0,0,0,0,0,1,3,1,1,0,1,0,1,-1,0,1,,0,3,4,4,3,3,3,3,3,3,3,"helpful","helpful","helpful","yes","helpful","helpful","helpful","helpful","helpful","helpful","yes","helpful","helpful","helpful","helpful","helpful","helpful","yes","yes","yes","helpful","helpful",4,3,4,4,4,2,0,0,2,3,2,3,3,3,3,3,2,0,3,4,3,3,3,2,3,0,5,7,5,1,2,,1,4,,3,"Female","Turkey",2,1,0,2020-04-08 17:12:12
12,"Turkish",0,0,0,0,0,0,1,2,1,0,-1,-1,-1,-1,1,1,1,1,3,4,4,4,4,-3,-3,3,2,3,-2,"yes",,"both",,"yes","yes",,"helpful",,,"yes",,,,"yes","yes",,"yes",,"yes","yes",,5,1,5,4,4,3,2,3,2,0,3,3,1,3,1,2,1,2,2,2,3,3,2,3,2,0,9,9,5,1,15,3,1,3,1,5,"Male","Turkey",3,1,0,2020-04-08 22:40:49
13,"Turkish",1,0,0,0,0,0,1,2,0,-1,-1,0,-1,0,1,1,1,0,2,4,4,3,2,1,1,3,1,2,1,"yes","helpful","yes","yes","yes","yes",,"helpful","helpful","helpful",,"yes","helpful","helpful","yes","yes","yes","yes","helpful","yes","both","helpful",4,4,4,4,4,2,2,2,2,2,4,3,2,2,2,2,2,3,2,4,3,3,3,2,3,0,6,10,6,1,15,1,1,3,1,3,"Male","Turkey",2,1,0,2020-04-09 01:14:41
14,"Turkish",0,0,0,0,0,1,0,2,1,-1,0,0,0,0,-1,-1,1,6,0,4,0,4,4,1,-2,1,-2,1,-2,,,,,,,,,,,,,,,,,,,,,,,4,3,2,3,3,0,0,0,0,1,3,2,1,2,1,1,1,1,2,2,2,1,2,2,3,0,4,8,4,1,8,4,1,3,1,4,"Male","Turkey",1,1,1,2020-04-09 03:20:31
15,"Turkish",0,0,0,0,0,0,1,2,1,0,1,-1,-1,0,0,1,0,,2,4,3,3,2,2,1,1,1,3,3,"helpful","helpful","helpful","helpful","helpful",,,"helpful",,,,"helpful","helpful","helpful","helpful","helpful","helpful","helpful","both","helpful","helpful",,1,3,0,3,3,3,1,0,2,0,4,2,2,3,3,4,3,2,,3,2,1,2,2,2,,6,5,7,1,15,,1,4,1,6,"Male","Turkey",2,1,0,2020-04-09 04:47:00
16,"Turkish",0,0,0,0,0,0,1,2,0,-1,-1,-1,-1,-1,1,1,-1,0,0,2,4,4,3,2,1,2,2,2,2,,,,,"both",,,"both",,,"both","both","both",,"both",,,,"both","both","both",,3,3,2,4,4,4,4,3,4,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,,6,7,7,0,20,1,1,3,1,6,"Male","Turkey",4,5,0,2020-04-09 08:03:04
17,"Turkish",1,0,0,0,0,0,1,2,1,-1,0,0,,,0,1,1,,-99,0,4,4,4,3,3,3,-3,3,3,"helpful","helpful","helpful","helpful","helpful","both","helpful","helpful","helpful","helpful","helpful","helpful","helpful","helpful","helpful","both","helpful","helpful","both","helpful","helpful","helpful",4,4,4,5,5,2,2,1,2,2,3,0,1,0,3,3,1,2,3,0,1,0,4,2,4,,8,8,9,1,13,10,1,5,1,4,"Male","Turkey",2,2,0,2020-04-09 09:25:51
18,"Turkish",0,0,0,0,0,0,1,2,1,0,-1,-1,-1,-1,1,1,1,0,1,2,0,3,3,2,1,2,1,2,2,"helpful","helpful","helpful","helpful","helpful","yes","helpful","helpful","helpful","helpful","helpful","helpful","helpful","helpful","helpful","yes","helpful","helpful","yes","yes","helpful","yes",4,2,2,3,3,1,2,2,2,2,3,1,1,1,1,2,1,2,2,2,3,2,3,2,3,0,6,9,5,0,9,3,1,2,0,4,"Male","Turkey",2,1,0,2020-04-09 19:59:10
19,"Turkish",1,0,0,0,0,0,1,2,1,0,0,1,-1,0,1,1,1,0,-99,1,4,3,1,3,1,3,1,3,3,"helpful","yes","yes","helpful","helpful","yes","helpful","both","helpful","helpful","yes","helpful","yes","helpful","helpful","yes","yes","yes","yes","yes","helpful","helpful",1,0,2,0,0,4,4,4,4,5,2,1,2,2,0,2,2,-1,4,2,2,2,2,0,4,,6,7,8,1,4,1,1,2,2,3,"Male","Turkey",1,2,0,2020-04-09 14:03:14
20,"Turkish",1,0,0,0,0,0,1,2,1,-1,0,-1,-1,-1,0,1,1,,0,0,-99,1,1,1,-1,2,-2,2,1,"helpful","helpful","helpful","helpful","helpful","helpful","yes","helpful","helpful","helpful","helpful","helpful","helpful","helpful","helpful","yes","helpful","helpful","helpful","helpful","helpful","yes",1,0,3,2,3,5,5,1,5,5,3,0,1,3,2,3,1,3,4,0,1,3,0,0,0,,8,7,10,1,6,0,1,2,0,3,"Male","Turkey",1,5,0,2020-04-09 14:10:49
