"Germany",505
"Russia",366
"Brazil",272
"Italy",173
"United States",99
"Korea, South",81
"Belgium",77
"China",76
"Turkey",66
"India",55
"Japan",53
"Spain",52
"Iran",40
"Austria",29
"Canada",27
"Switzerland",20
"United Kingdom",20
NA,20
"Saudi Arabia",19
"Australia",18
"Netherlands",16
"France",12
"Belarus",11
"Ireland",10
"Israel",10
"Tunisia",10
"Ukraine",8
"Indonesia",6
"New Zealand",6
"Sweden",6
"Algeria",5
"Egypt",5
"Finland",5
"United Arab Emirates",5
"Poland",4
"Romania",4
"Thailand",3
"Armenia",2
"Denmark",2
"Latvia",2
"Libya",2
"Morocco",2
"Oman",2
"Portugal",2
"Serbia and Montenegro",2
"Slovakia",2
"Slovenia",2
"Albania",1
"Cyprus",1
"Czech Republic",1
"Ecuador",1
"El Salvador",1
"Lebanon",1
"Luxembourg",1
"Mexico",1
"Nepal",1
"Norway",1
"Singapore",1
