"Timestamp","ID","Language","AtLeastOneOpenResponse","COVIDStatus5","COVIDStatus4","COVIDStatus3","COVIDStatus2","COVIDStatus1","COVIDStatus0","Isolation","DP2","DP1","DP5","DP4","DP3","Erg2","Erg6","Erg4","Erg5","Erg3","Erg1","WHO5B3","WHO5B4","WHO5B5","WHO5B2","WHO5B1","WHO5S2","WHO5S3","WHO5S5","WHO5S1","WHO5S4","HPQB1","HPQB7","HPQB3","HPQB6","HPQB5","HPQB4","HPQB2","HPQB8","HPQS1","HPQS4","HPQS6","HPQS3","HPQS5","HPQS2","HPQS7","HPQS8","PerformanceOthers","PerB1item","PerS1item","RolesIncludeDeveloper","YearsOfExperience","YearsOfWorkFromHomeExperience","Fulltime","Age","Gender","Country","Education","OrganizationSize","Disabilities","OS1_y","OS1_h","OS2_y","OS2_h","OS3_y","OS3_h","OS4_y","OS4_h","OS5_y","OS5_h","OS6_y","OS6_h","OS7_y","OS7_h","OS8_y","OS8_h","OS9_y","OS9_h","OS10_y","OS10_h","OS11_y","OS11_h","OS12_y","OS12_h","OS13_y","OS13_h","OS14_y","OS14_h","OS15_y","OS15_h","OS16_y","OS16_h","OS17_y","OS17_h","OS18_y","OS18_h","OS19_y","OS19_h","OS20_y","OS20_h","OS21_y","OS21_h","OS22_y","OS22_h","COVIDStatus","AdultCohabitants","ChildCohabitants","FearResilience"
"2020-03-27 18:16:00 UTC",1,"English",0,0,0,0,0,0,1,3,3,5,4,4,1,4,4,5,5,4,2,5,5,5,4,4,1,2,3,2,1,5,1,3,2,2,2,1,7,4,4,4,4,3,2,4,6,7,9,7,1,13,8,1,4,"Male","Brazil",4,3,1,NA,NA,0,1,NA,NA,NA,NA,1,0,1,1,1,1,1,1,1,1,NA,NA,1,1,NA,NA,NA,NA,0,1,0,1,NA,NA,NA,NA,1,1,1,0,1,1,1,1,1,0,1,1,1,NA
"2020-03-27 18:19:26 UTC",2,"English",0,0,0,0,0,0,1,3,5,5,3,5,2,6,4,6,6,6,2,5,5,5,5,5,5,2,5,2,2,4,3,2,2,2,2,2,5,4,4,4,4,4,2,4,4,7,8,5,0,8,3,1,5,"Male","Canada",5,3,1,NA,NA,1,1,NA,NA,0,1,0,1,1,1,1,1,NA,NA,1,1,NA,NA,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,NA,NA,NA,NA,1,1,0,-3.8
"2020-03-27 18:25:31 UTC",3,"English",1,0,0,0,0,0,1,3,1,5,4,5,4,3,3,4,4,5,2,3,3,3,3,3,3,3,4,3,4,4,2,2,2,3,3,2,6,3,4,3,3,3,3,4,5,6,8,6,1,8,1,1,4,"Male","India",3,5,1,1,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,1,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,1,1,0,NA
"2020-03-27 18:26:32 UTC",4,"English",1,0,0,0,0,0,1,3,2,5,3,5,4,6,5,4,5,6,2,5,5,6,5,5,4,5,5,4,5,3,3,3,2,2,3,1,5,3,4,4,4,4,4,3,2,8,8,4,1,2,2,1,4,"Male","Canada",5,5,1,NA,NA,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,NA,NA,NA,NA,0,1,0,1,1,1,0,1,0,1,0,1,NA,NA,1,0,1,1,0,-3.9
"2020-03-27 18:28:36 UTC",5,"English",0,0,0,0,1,0,0,3,4,3,4,4,4,3,4,4,5,6,2,5,4,5,4,4,2,2,4,2,2,3,2,2,3,2,1,3,5,2,3,4,3,2,4,3,1,7,8,5,1,12,6,1,6,"Male","United States",3,2,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,0,1,0,1,1,0,1,0,1,0,1,0,1,0,3,1,2,-0.9
"2020-03-27 18:32:51 UTC",6,"English",1,0,0,0,0,0,1,3,3,5,5,5,4,6,5,6,4,5,5,5,5,4,5,5,4,4,4,4,4,2,2,2,1,1,2,1,5,2,1,2,1,1,2,2,4,7,8,9,1,9,5,1,6,"Male","Canada",5,6,1,1,0,1,0,1,0,NA,NA,1,0,1,0,1,0,1,0,1,0,NA,NA,1,0,1,0,1,0,0,1,0,1,NA,NA,0,1,1,0,1,0,1,0,NA,NA,1,0,1,1,0,-4
"2020-03-27 18:36:03 UTC",7,"English",1,0,0,0,1,0,0,3,5,5,5,5,5,2,1,6,2,6,1,4,4,5,4,4,2,2,3,2,2,3,1,2,2,1,2,1,5,1,3,3,2,4,2,3,4,8,8,7,0,10,0,1,5,"Female","Netherlands",3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,3,1,2,1
"2020-03-27 18:39:51 UTC",8,"English",0,0,0,0,0,0,1,4,2,3,5,5,4,6,3,6,4,6,2,1,1,3,2,1,2,2,4,2,2,1,1,2,3,3,3,1,3,1,3,3,2,3,1,3,3,6,5,5,1,0.5,0,0,2,"Male","Poland",2,6,1,1,1,0,1,1,1,NA,NA,0,1,0,1,0,1,0,1,1,1,NA,NA,NA,NA,0,1,NA,NA,NA,NA,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,2,0,-1.6
"2020-03-27 18:53:38 UTC",9,"English",1,0,0,0,0,0,1,3,4,5,2,5,1,5,4,5,5,6,5,5,5,5,5,6,1,1,1,1,1,5,2,1,2,1,1,2,7,2,5,5,4,3,4,5,1,5,9,1,1,5,3,1,4,"Male","Canada",4,6,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,-2.3
"2020-03-27 18:54:01 UTC",10,"English",1,0,0,0,0,0,1,3,5,4,5,5,5,5,6,6,6,6,2,4,3,4,4,4,4,4,4,4,4,3,2,2,3,3,3,2,6,2,2,3,3,2,2,3,4,8,8,7,1,15,1,1,5,"Male","United States",3,2,1,1,0,1,0,1,0,NA,NA,1,0,1,0,1,0,1,0,1,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,1,0,1,0,1,2,1,-4.1
