Language,Survey Launch,Survey Closed,Response Download EMSE Submission
English,27 March 2020 17:47 UTC,22 May 2020,16 April 2020 08:21 CEST
Turkish,06 April 2020 21:30 AEST,04 May 2020 12:30 AEST,14 April 2020 14:51 AEST
French,08 April 2020 16:00 UTC,19 May 2020 16:00 UTC,14 April 2020 08:30 UTC
Japanese,09 April 2020 09:00 JST,03 May 2020,14 April 2020 20:00 JST
Spanish,06 April 2020 12:00 CEST,23 April 2020 12:00 CEST,14 April 2020 17:44 CEST
Russian,07 April 2020 17:00 CEST,23 May 2020 0:00 CEST,14 April 2020 18:30 CEST
Italian,07 April 2020 13:00 CET,14 April 2020 11:50 CET,14 April 2020 11:50 CET
Korean,07 April 2020 10:53 GMT+9,12 April 2020 15:33 GMT+9,12 April 2020 15:33 GMT+9
Portuguese,05 April 2020 GMT-3,25 May 2020 21:19 GMT-3,14 April 2020 22:20 GMT-3
Chinese,04 April 2020 18:56 UTC+8,20 May 2020 18:23 UTC+8,12 April 2020 09:17 UTC+8
Arabic,07 April 2020 10:00 GMT+3,23 May 2020 06:00 GMT+3,14 April 2020 5:30 GMT+3
Persian,06 April 2020 16:06 PDT,25 May 2020,14 April 2020 12:00 PDT
