Question Number,Variable,Question Text
n/a,ID,n/a
n/a,Language,n/a
n/a,AtLeastOneOpenResponse,n/a
3,COVIDStatus5,"""I have tested positive for COVID-19"""
3,COVIDStatus4,"""Someone else in my home has tested positive for COVID-19"""
3,COVIDStatus3,"""A member of my family has tested positive for COVID-19"""
3,COVIDStatus2,"""A close friend of mine has tested positive for COVID-19"""
3,COVIDStatus1,"""I am currently or was recently quarantined (ordered not to leave home for any reason)"""
3,COVIDStatus0,"""None of the above"""
4,Isolation,"""Choose the option that best describes you."""
5,FR1,"""Are you fearful that… [...you are infected with COVID-19]"""
5,FR2,"""Are you fearful that… [...you will die from COVID-19]"""
5,FR3,"""Are you fearful that… [...a close family member will die from COVID-19]"""
6,FR4,"""Right now do you feel... [...fearful]"""
6,FR5,"""Right now do you feel... [...helpless]"""
6,FR6,"""Right now do you feel... [...horrified]"""
7,FR7,"""Please answer the following questions. [Are you fearful that you will run out of money if you cannot work for the next 2-3 months?]"""
7,FR8,"""Please answer the following questions. [Do you usually recover quickly after an illness?]"""
7,FR9,"""Please answer the following questions. [Do you have any friends you can contact by phone/email/etc. so that you do not feel alone?]"""
8,FR10,"""How many different prescription medications are you on?"""
9,DP1,"""Please react to the following statements. [I discuss with others the information I get on the COVID-19 pandemic.]"" "
9,DP2,"""Please react to the following statements. [I have an emergency supply kit.]"""
9,DP3,"""Please react to the following statements. [I have a plan if I get symptoms of COVID-19.]"""
9,DP4,"""Please react to the following statements. [I am complying with government recommendations regarding the COVID-19 pandemic.]"""
9,DP5,"""Please react to the following statements. [I know people who will help me if I have to self-isolate.]"""
10,Erg1,"""Please indicate the extent to which you agree with each of the following questions about your workspace at home. [My home working environment is free of distractions]"""
10,Erg2,"""Please indicate the extent to which you agree with each of the following questions about your workspace at home. [The noise level of my home workspace is acceptable]"""
10,Erg3,"""Please indicate the extent to which you agree with each of the following questions about your workspace at home. [The temperature of my home workspace environment is acceptable]"""
10,Erg4,"""Please indicate the extent to which you agree with each of the following questions about your workspace at home. [The lighting in my home workspace is acceptable]"""
10,Erg5,"""Please indicate the extent to which you agree with each of the following questions about your workspace at home. [My chair is comfortable]"""
10,Erg6,"""Please indicate the extent to which you agree with each of the following questions about your workspace at home. [My home workspace has good ergonomics]"""
11,OS1,"""Below is a series of statements about how your organization might support you while you are working from home. For each item, first, if your company is doing it, please check the \""\""\""\""true\""\""\""\"" box; if not, leave it blank. (Please also select \""\""\""\""true\""\""\""\"" if your organization doesn't have to reassure you of something because it is obvious.) Second, if you think it is helping or would help, check the \""\""\""\""helpful\""\""\""\"" box; if not leave it blank.  [I can (or could) take equipment (e.g. monitors) home from my workplace]"""
11,OS2,"""Below is a series of statements about how your organization might support you while you are working from home. For each item, first, if your company is doing it, please check the \""\""\""\""true\""\""\""\"" box; if not, leave it blank. (Please also select \""\""\""\""true\""\""\""\"" if your organization doesn't have to reassure you of something because it is obvious.) Second, if you think it is helping or would help, check the \""\""\""\""helpful\""\""\""\"" box; if not leave it blank.  [My organization will buy new equipment we need to work from home]"""
11,OS3,"""Below is a series of statements about how your organization might support you while you are working from home. For each item, first, if your company is doing it, please check the \""\""\""\""true\""\""\""\"" box; if not, leave it blank. (Please also select \""\""\""\""true\""\""\""\"" if your organization doesn't have to reassure you of something because it is obvious.) Second, if you think it is helping or would help, check the \""\""\""\""helpful\""\""\""\"" box; if not leave it blank.  [My organization will pay for software we need to work from home]"""
11,OS4,"""Below is a series of statements about how your organization might support you while you are working from home. For each item, first, if your company is doing it, please check the \""\""\""\""true\""\""\""\"" box; if not, leave it blank. (Please also select \""\""\""\""true\""\""\""\"" if your organization doesn't have to reassure you of something because it is obvious.) Second, if you think it is helping or would help, check the \""\""\""\""helpful\""\""\""\"" box; if not leave it blank.  [My organization will pay for some or all of my internet charges]"""
11,OS5,"""Below is a series of statements about how your organization might support you while you are working from home. For each item, first, if your company is doing it, please check the \""\""\""\""true\""\""\""\"" box; if not, leave it blank. (Please also select \""\""\""\""true\""\""\""\"" if your organization doesn't have to reassure you of something because it is obvious.) Second, if you think it is helping or would help, check the \""\""\""\""helpful\""\""\""\"" box; if not leave it blank.  [My organization has reassured me that I will keep my job]"""
11,OS6,"""Below is a series of statements about how your organization might support you while you are working from home. For each item, first, if your company is doing it, please check the \""\""\""\""true\""\""\""\"" box; if not, leave it blank. (Please also select \""\""\""\""true\""\""\""\"" if your organization doesn't have to reassure you of something because it is obvious.) Second, if you think it is helping or would help, check the \""\""\""\""helpful\""\""\""\"" box; if not leave it blank.  [My organization has reassured me that I will continue to be paid]"""
11,OS7,"""Below is a series of statements about how your organization might support you while you are working from home. For each item, first, if your company is doing it, please check the \""\""\""\""true\""\""\""\"" box; if not, leave it blank. (Please also select \""\""\""\""true\""\""\""\"" if your organization doesn't have to reassure you of something because it is obvious.) Second, if you think it is helping or would help, check the \""\""\""\""helpful\""\""\""\"" box; if not leave it blank.  [My organization has reassured me that I can take time off if I'm sick or need to care for dependents]"""
